Supplier ID,Supplier Name,Material Type,Location,Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per unit (INR)
SPLR1028,Supplier_28,Sand,Ahmedabad,3.5,772,4,3111.03
SPLR1029,Supplier_29,Glass,Chennai,2.6,961,22,1777.22
SPLR1030,Supplier_30,Concrete,Pune,3.7,220,8,1535.89
SPLR1031,Supplier_31,Plumbing Pipes,Pune,4.3,685,22,2587.34
SPLR1032,Supplier_32,Tiles,Mumbai,3.1,323,30,4570.23
SPLR1033,Supplier_33,Wood,Chennai,2.9,812,30,2008.27
SPLR1034,Supplier_34,Plumbing Pipes,Delhi,4.0,92,15,4835.97
SPLR1035,Supplier_35,Wood,Delhi,2.7,352,27,4149.26
SPLR1036,Supplier_36,Concrete,Hyderabad,4.3,477,9,3786.41
SPLR1037,Supplier_37,Plumbing Pipes,Mumbai,4.7,855,30,3878.46
SPLR1038,Supplier_38,Concrete,Delhi,4.6,454,11,3447.15
SPLR1039,Supplier_39,Electrical Wiring,Mumbai,4.2,877,30,3390.55
SPLR1040,Supplier_40,Steel,Jaipur,4.9,530,7,1648.77
SPLR1041,Supplier_41,Bricks,Delhi,3.4,982,26,3301.44
SPLR1042,Supplier_42,Steel,Mumbai,3.8,718,13,743.21
SPLR1043,Supplier_43,Bricks,Delhi,4.1,979,22,4879.73
SPLR1044,Supplier_44,Tiles,Mumbai,4.8,134,19,3899.41
SPLR1045,Supplier_45,Sand,Hyderabad,4.6,970,12,4379.7
SPLR1046,Supplier_46,Bricks,Mumbai,4.2,528,27,2328.69
SPLR1047,Supplier_47,Bricks,Pune,5.0,885,12,1358.16
SPLR1048,Supplier_48,Bricks,Chennai,2.6,873,3,4462.06
SPLR1049,Supplier_49,Wood,Ahmedabad,4.2,455,16,3756.3
SPLR1050,Supplier_50,Concrete,Bangalore,4.3,785,25,2365.56
SPLR1051,Supplier_51,Wood,Ahmedabad,4.4,949,2,4564.64
SPLR1052,Supplier_52,Glass,Delhi,3.4,964,22,595.89
SPLR1053,Supplier_53,Bricks,Delhi,4.0,254,25,3068.92
SPLR1054,Supplier_54,Wood,Hyderabad,4.9,899,11,2484.45
SPLR1055,Supplier_55,Electrical Wiring,Chennai,3.5,535,25,2410.36
SPLR1056,Supplier_56,Tiles,Jaipur,4.5,158,2,4017.15
SPLR1057,Supplier_57,Concrete,Mumbai,3.0,327,16,2695.71
SPLR1058,Supplier_58,Cement,Chennai,3.1,686,9,4696.61
SPLR1059,Supplier_59,Plumbing Pipes,Jaipur,5.0,942,3,4020.89
SPLR1060,Supplier_60,Cement,Pune,4.7,283,27,2523.47
SPLR1061,Supplier_61,Steel,Kolkata,3.4,123,7,1251.7
SPLR1062,Supplier_62,Sand,Jaipur,5.0,778,24,4286.78
SPLR1063,Supplier_63,Wood,Mumbai,3.5,635,6,2622.2
SPLR1064,Supplier_64,Cement,Bangalore,4.0,332,13,2125.51
SPLR1065,Supplier_65,Bricks,Ahmedabad,2.6,567,9,3951.31
SPLR1066,Supplier_66,Sand,Hyderabad,3.6,703,4,4599.15
SPLR1067,Supplier_67,Tiles,Ahmedabad,4.7,744,8,726.73
SPLR1068,Supplier_68,Steel,Delhi,3.1,310,11,915.64
SPLR1069,Supplier_69,Sand,Lucknow,4.6,693,23,1201.64
SPLR1070,Supplier_70,Glass,Mumbai,2.9,163,10,4258.43
SPLR1071,Supplier_71,Electrical Wiring,Jaipur,4.6,139,11,4367.68
SPLR1072,Supplier_72,Concrete,Ahmedabad,2.9,556,20,822.64
SPLR1073,Supplier_73,Cement,Hyderabad,4.7,279,9,4421.5
SPLR1074,Supplier_74,Sand,Lucknow,2.6,630,13,3298.67
SPLR1075,Supplier_75,Plumbing Pipes,Ahmedabad,3.3,444,5,4973.08
SPLR1076,Supplier_76,Cement,Hyderabad,4.5,263,16,4093.13
SPLR1077,Supplier_77,Concrete,Delhi,5.0,258,17,2684.16
SPLR1078,Supplier_78,Concrete,Bangalore,2.7,899,2,2966.54
SPLR1079,Supplier_79,Glass,Chennai,4.3,439,12,2682.37
SPLR1080,Supplier_80,Steel,Delhi,3.5,396,28,3887.92
SPLR1081,Supplier_81,Steel,Bangalore,4.9,363,16,1212.25
SPLR1082,Supplier_82,Glass,Chennai,2.9,752,20,4082.57
SPLR1083,Supplier_83,Cement,Bangalore,3.2,881,25,962.39
SPLR1084,Supplier_84,Steel,Lucknow,4.3,482,13,754.46
SPLR1085,Supplier_85,Plumbing Pipes,Pune,2.8,831,1,4461.47
SPLR1086,Supplier_86,Wood,Lucknow,2.6,671,17,1634.83
SPLR1087,Supplier_87,Glass,Chennai,4.4,535,29,3301.42
SPLR1088,Supplier_88,Concrete,Delhi,4.4,900,2,3903.81
SPLR1089,Supplier_89,Plumbing Pipes,Mumbai,2.9,574,18,2446.3
SPLR1090,Supplier_90,Concrete,Lucknow,2.6,845,11,3723.03
SPLR1091,Supplier_91,Wood,Lucknow,3.7,213,13,3715.03
SPLR1092,Supplier_92,Glass,Bangalore,2.9,244,25,4431.3
SPLR1093,Supplier_93,Plumbing Pipes,Kolkata,4.5,725,6,4856.56
SPLR1094,Supplier_94,Electrical Wiring,Chennai,4.8,434,25,1500.52
SPLR1095,Supplier_95,Wood,Jaipur,3.3,695,26,912.37
SPLR1096,Supplier_96,Cement,Mumbai,3.4,859,29,673.63
SPLR1097,Supplier_97,Bricks,Lucknow,3.8,698,30,2064.16
SPLR1098,Supplier_98,Wood,Bangalore,4.1,396,7,4206.72
SPLR1099,Supplier_99,Plumbing Pipes,Jaipur,4.2,974,23,3426.06
SPLR1100,Supplier_100,Steel,Ahmedabad,4.3,652,2,4558.6
SPLR1101,Supplier_101,Wood,Lucknow,4.9,827,1,791.92
SPLR1102,Supplier_102,Glass,Lucknow,3.8,119,19,4215.23
SPLR1103,Supplier_103,Steel,Lucknow,3.5,167,17,2651.99
SPLR1104,Supplier_104,Plumbing Pipes,Bangalore,4.8,849,12,1257.23
SPLR1105,Supplier_105,Tiles,Hyderabad,5.0,293,25,3083.45
SPLR1106,Supplier_106,Plumbing Pipes,Bangalore,4.7,752,17,3416.05
SPLR1107,Supplier_107,Concrete,Delhi,4.4,603,10,2079.31
SPLR1108,Supplier_108,Plumbing Pipes,Bangalore,2.9,340,20,1812.58
SPLR1109,Supplier_109,Plumbing Pipes,Bangalore,4.6,231,23,2438.13
SPLR1110,Supplier_110,Concrete,Kolkata,3.5,847,12,2300.34
SPLR1111,Supplier_111,Cement,Pune,4.1,901,7,4659.82
SPLR1112,Supplier_112,Glass,Chennai,4.6,847,20,1308.38
SPLR1113,Supplier_113,Steel,Hyderabad,3.6,431,7,2268.93
SPLR1114,Supplier_114,Electrical Wiring,Bangalore,3.7,458,19,1129.9
SPLR1115,Supplier_115,Cement,Mumbai,4.3,909,1,2973.0
SPLR1116,Supplier_116,Concrete,Jaipur,3.9,467,19,3511.96
SPLR1117,Supplier_117,Tiles,Lucknow,4.1,759,21,2271.32
SPLR1118,Supplier_118,Concrete,Delhi,4.7,709,11,4468.98
SPLR1119,Supplier_119,Concrete,Hyderabad,2.6,245,6,518.05
SPLR1120,Supplier_120,Sand,Hyderabad,3.8,64,14,4617.78
SPLR1121,Supplier_121,Glass,Jaipur,3.6,305,22,4549.0
SPLR1122,Supplier_122,Cement,Bangalore,2.8,170,20,4840.01
SPLR1123,Supplier_123,Concrete,Chennai,4.9,399,23,2184.9
SPLR1124,Supplier_124,Steel,Bangalore,4.0,999,27,3956.41
SPLR1125,Supplier_125,Concrete,Jaipur,4.4,679,11,1112.1
SPLR1126,Supplier_126,Sand,Kolkata,3.1,97,10,4135.33
SPLR1127,Supplier_127,Plumbing Pipes,Jaipur,4.3,269,8,617.44
SPLR1128,Supplier_128,Glass,Delhi,4.0,441,10,1413.82
SPLR1129,Supplier_129,Bricks,Delhi,3.2,497,5,2182.31
SPLR1130,Supplier_130,Bricks,Pune,3.0,206,2,3063.0
SPLR1131,Supplier_131,Plumbing Pipes,Jaipur,3.3,580,30,1218.57
SPLR1132,Supplier_132,Cement,Jaipur,4.8,578,10,1146.52
SPLR1133,Supplier_133,Cement,Jaipur,2.8,367,26,1804.68
SPLR1134,Supplier_134,Bricks,Mumbai,3.8,719,23,2281.72
SPLR1135,Supplier_135,Wood,Kolkata,4.9,662,23,1414.57
SPLR1136,Supplier_136,Cement,Chennai,2.7,252,5,2698.71
SPLR1137,Supplier_137,Sand,Kolkata,3.6,521,1,660.37
SPLR1138,Supplier_138,Cement,Kolkata,2.8,911,16,823.19
SPLR1139,Supplier_139,Electrical Wiring,Jaipur,4.1,403,17,2936.18
SPLR1140,Supplier_140,Tiles,Lucknow,2.5,464,13,2483.87
SPLR1141,Supplier_141,Glass,Ahmedabad,3.9,188,10,4696.88
SPLR1142,Supplier_142,Steel,Delhi,3.1,783,30,1285.86
SPLR1143,Supplier_143,Cement,Pune,4.0,899,28,1438.41
SPLR1144,Supplier_144,Sand,Pune,4.7,622,6,2746.78
SPLR1145,Supplier_145,Tiles,Jaipur,2.8,162,8,2471.87
SPLR1146,Supplier_146,Electrical Wiring,Chennai,4.4,162,5,958.93
SPLR1147,Supplier_147,Wood,Ahmedabad,3.2,969,18,2252.6
SPLR1148,Supplier_148,Cement,Lucknow,4.4,313,18,2235.06
SPLR1149,Supplier_149,Sand,Kolkata,2.5,207,12,1815.78
SPLR1150,Supplier_150,Tiles,Mumbai,2.7,461,27,2327.75
SPLR1151,Supplier_151,Cement,Chennai,3.4,933,16,4209.01
SPLR1152,Supplier_152,Cement,Mumbai,3.5,542,8,3680.9
SPLR1153,Supplier_153,Electrical Wiring,Lucknow,3.8,503,7,1049.11
SPLR1154,Supplier_154,Steel,Hyderabad,4.4,165,1,2241.68
SPLR1155,Supplier_155,Wood,Ahmedabad,4.4,698,27,1823.44
SPLR1156,Supplier_156,Concrete,Ahmedabad,4.5,892,12,3042.13
SPLR1157,Supplier_157,Plumbing Pipes,Hyderabad,4.0,164,20,2227.79
SPLR1158,Supplier_158,Wood,Kolkata,3.2,653,12,1094.39
SPLR1159,Supplier_159,Cement,Jaipur,3.2,420,11,4288.1
SPLR1160,Supplier_160,Tiles,Mumbai,4.9,342,23,2194.07
SPLR1161,Supplier_161,Bricks,Lucknow,4.4,944,5,692.22
SPLR1162,Supplier_162,Electrical Wiring,Kolkata,4.2,530,8,4526.73
SPLR1163,Supplier_163,Bricks,Hyderabad,4.9,140,12,2233.98
SPLR1164,Supplier_164,Wood,Chennai,4.5,174,29,2053.77
SPLR1165,Supplier_165,Bricks,Kolkata,2.7,475,7,3428.84
SPLR1166,Supplier_166,Wood,Ahmedabad,4.1,745,19,1525.87
SPLR1167,Supplier_167,Sand,Hyderabad,3.2,582,16,2183.74
SPLR1168,Supplier_168,Plumbing Pipes,Jaipur,2.8,70,13,3698.97
SPLR1169,Supplier_169,Wood,Delhi,4.4,640,29,1627.52
SPLR1170,Supplier_170,Bricks,Lucknow,4.6,774,18,4037.05
SPLR1171,Supplier_171,Steel,Lucknow,3.1,473,29,4545.81
SPLR1172,Supplier_172,Tiles,Hyderabad,3.5,607,1,4459.49
SPLR1173,Supplier_173,Tiles,Chennai,3.4,648,18,3368.67
SPLR1174,Supplier_174,Wood,Mumbai,3.7,907,19,3276.41
SPLR1175,Supplier_175,Electrical Wiring,Bangalore,4.6,660,28,3004.45
SPLR1176,Supplier_176,Tiles,Lucknow,4.6,969,22,2148.68
SPLR1177,Supplier_177,Sand,Kolkata,3.3,242,7,1143.94
SPLR1178,Supplier_178,Wood,Mumbai,3.4,137,6,2468.84
SPLR1179,Supplier_179,Bricks,Mumbai,2.6,736,2,4930.98
SPLR1180,Supplier_180,Cement,Ahmedabad,4.6,708,3,2251.28
SPLR1181,Supplier_181,Sand,Mumbai,4.7,862,14,4510.66
SPLR1182,Supplier_182,Cement,Lucknow,4.1,783,14,2201.58
SPLR1183,Supplier_183,Concrete,Lucknow,2.8,80,2,2442.94
SPLR1184,Supplier_184,Steel,Pune,2.6,234,28,3240.09
SPLR1185,Supplier_185,Plumbing Pipes,Bangalore,4.0,360,1,4773.61
SPLR1186,Supplier_186,Bricks,Hyderabad,3.8,224,17,1161.46
SPLR1187,Supplier_187,Glass,Kolkata,4.7,869,29,4171.84
SPLR1188,Supplier_188,Plumbing Pipes,Kolkata,2.8,393,7,3655.72
SPLR1189,Supplier_189,Concrete,Hyderabad,4.1,477,27,621.56
SPLR1190,Supplier_190,Steel,Lucknow,2.9,293,30,2125.11
SPLR1191,Supplier_191,Bricks,Kolkata,4.2,122,14,1859.88
SPLR1192,Supplier_192,Electrical Wiring,Kolkata,2.7,246,9,2231.0
SPLR1193,Supplier_193,Steel,Lucknow,4.5,456,20,3477.43
SPLR1194,Supplier_194,Bricks,Delhi,3.6,701,26,3469.44
SPLR1195,Supplier_195,Plumbing Pipes,Bangalore,3.4,156,9,2651.58
SPLR1196,Supplier_196,Electrical Wiring,Lucknow,4.0,616,19,2831.75
SPLR1197,Supplier_197,Electrical Wiring,Jaipur,4.4,854,13,3041.27
SPLR1198,Supplier_198,Tiles,Mumbai,3.2,757,9,1672.6
SPLR1199,Supplier_199,Sand,Kolkata,2.9,822,23,2172.32
SPLR1200,Supplier_200,Tiles,Kolkata,4.2,553,8,2111.17
SPLR1201,Supplier_201,Steel,Kolkata,3.0,592,11,4608.36
SPLR1202,Supplier_202,Bricks,Kolkata,3.6,825,21,3754.37
SPLR1203,Supplier_203,Bricks,Kolkata,3.5,427,30,2184.45
SPLR1204,Supplier_204,Steel,Ahmedabad,3.2,350,13,2483.72
SPLR1205,Supplier_205,Bricks,Lucknow,4.0,759,21,2005.7
SPLR1206,Supplier_206,Steel,Hyderabad,3.9,634,6,1314.69
SPLR1207,Supplier_207,Concrete,Pune,3.9,605,4,1920.68
SPLR1208,Supplier_208,Cement,Kolkata,4.6,716,9,2696.72
SPLR1209,Supplier_209,Cement,Delhi,4.8,898,17,1290.57
SPLR1210,Supplier_210,Sand,Delhi,3.6,708,8,4885.73
SPLR1211,Supplier_211,Cement,Kolkata,3.0,956,12,4577.05
SPLR1212,Supplier_212,Bricks,Bangalore,4.5,424,1,4442.85
SPLR1213,Supplier_213,Bricks,Hyderabad,3.3,120,8,4848.33
SPLR1214,Supplier_214,Concrete,Chennai,4.0,319,9,3482.63
SPLR1215,Supplier_215,Sand,Pune,4.3,638,18,613.11
SPLR1216,Supplier_216,Bricks,Ahmedabad,3.7,954,25,1291.81
SPLR1217,Supplier_217,Plumbing Pipes,Ahmedabad,3.8,677,30,4023.48
SPLR1218,Supplier_218,Electrical Wiring,Kolkata,3.1,176,18,4765.9
SPLR1219,Supplier_219,Glass,Lucknow,3.7,390,5,2992.64
SPLR1220,Supplier_220,Tiles,Delhi,4.0,707,29,1476.62
SPLR1221,Supplier_221,Electrical Wiring,Mumbai,4.4,961,24,3609.79
SPLR1222,Supplier_222,Cement,Chennai,2.9,180,26,3301.6
SPLR1223,Supplier_223,Cement,Ahmedabad,3.5,487,3,1939.89
SPLR1224,Supplier_224,Sand,Delhi,4.2,338,4,3911.94
SPLR1225,Supplier_225,Tiles,Lucknow,3.2,878,10,3955.74
SPLR1226,Supplier_226,Tiles,Lucknow,2.7,652,9,4955.93
SPLR1227,Supplier_227,Sand,Jaipur,4.5,956,19,2188.61
SPLR1228,Supplier_228,Wood,Jaipur,4.6,998,3,3870.93
SPLR1229,Supplier_229,Electrical Wiring,Chennai,4.5,119,23,978.82
SPLR1230,Supplier_230,Plumbing Pipes,Lucknow,5.0,733,9,4679.12
SPLR1231,Supplier_231,Electrical Wiring,Chennai,2.8,462,19,696.82
SPLR1232,Supplier_232,Sand,Pune,4.7,479,20,3242.54
SPLR1233,Supplier_233,Cement,Mumbai,4.5,882,5,2290.8
SPLR1234,Supplier_234,Electrical Wiring,Lucknow,4.9,711,23,1133.16
SPLR1235,Supplier_235,Sand,Chennai,4.1,785,3,2364.68
SPLR1236,Supplier_236,Wood,Jaipur,4.5,327,29,3350.4
SPLR1237,Supplier_237,Glass,Pune,4.0,352,30,4333.47
SPLR1238,Supplier_238,Cement,Mumbai,4.5,637,13,2199.2
SPLR1239,Supplier_239,Cement,Lucknow,3.0,1000,15,1632.35
SPLR1240,Supplier_240,Electrical Wiring,Kolkata,2.7,110,1,4162.64
SPLR1241,Supplier_241,Bricks,Delhi,3.6,416,16,4577.79
SPLR1242,Supplier_242,Tiles,Jaipur,4.6,161,28,1601.1
SPLR1243,Supplier_243,Steel,Pune,3.6,72,24,4162.75
SPLR1244,Supplier_244,Glass,Chennai,2.7,742,23,3954.74
SPLR1245,Supplier_245,Tiles,Hyderabad,3.4,559,19,716.4
SPLR1246,Supplier_246,Sand,Ahmedabad,4.3,365,20,3941.6
SPLR1247,Supplier_247,Bricks,Delhi,4.2,957,30,2470.53
SPLR1248,Supplier_248,Sand,Pune,4.5,808,29,1686.81
SPLR1249,Supplier_249,Concrete,Lucknow,4.4,583,8,2999.18
SPLR1250,Supplier_250,Cement,Pune,3.0,276,14,2243.2
SPLR1251,Supplier_251,Wood,Lucknow,4.2,510,17,2258.73
SPLR1252,Supplier_252,Steel,Delhi,4.9,288,27,2849.65
SPLR1253,Supplier_253,Sand,Jaipur,2.9,470,6,3738.84
SPLR1254,Supplier_254,Steel,Jaipur,3.1,735,13,3461.59
SPLR1255,Supplier_255,Electrical Wiring,Delhi,4.1,56,4,2982.94
SPLR1256,Supplier_256,Bricks,Lucknow,4.7,367,6,3076.75
SPLR1257,Supplier_257,Concrete,Pune,2.8,876,19,651.64
SPLR1258,Supplier_258,Plumbing Pipes,Delhi,2.6,388,28,1385.05
SPLR1259,Supplier_259,Bricks,Delhi,4.4,322,29,3517.44
SPLR1260,Supplier_260,Tiles,Ahmedabad,4.8,922,10,4463.31
SPLR1261,Supplier_261,Steel,Pune,4.2,625,19,2377.78
SPLR1262,Supplier_262,Plumbing Pipes,Ahmedabad,2.9,111,19,2960.61
SPLR1263,Supplier_263,Sand,Hyderabad,4.8,572,6,1895.81
SPLR1264,Supplier_264,Electrical Wiring,Pune,2.7,349,5,1831.65
SPLR1265,Supplier_265,Steel,Kolkata,5.0,948,30,3303.91
SPLR1266,Supplier_266,Sand,Hyderabad,4.3,999,8,1566.49
SPLR1267,Supplier_267,Cement,Mumbai,4.6,134,27,4531.21
SPLR1268,Supplier_268,Concrete,Pune,3.0,217,2,1502.68
SPLR1269,Supplier_269,Glass,Delhi,4.8,205,24,639.58
SPLR1270,Supplier_270,Glass,Hyderabad,4.1,575,9,3076.47
SPLR1271,Supplier_271,Wood,Delhi,3.2,324,10,3070.01
SPLR1272,Supplier_272,Wood,Delhi,2.6,851,12,3462.22
SPLR1273,Supplier_273,Concrete,Hyderabad,3.2,175,6,3382.89
SPLR1274,Supplier_274,Tiles,Chennai,3.2,578,7,1283.85
SPLR1275,Supplier_275,Wood,Chennai,4.8,119,28,3481.25
SPLR1276,Supplier_276,Concrete,Mumbai,3.6,212,8,1452.59
SPLR1277,Supplier_277,Bricks,Ahmedabad,4.1,805,13,1947.12
SPLR1278,Supplier_278,Sand,Jaipur,4.1,958,30,3414.43
SPLR1279,Supplier_279,Sand,Pune,4.2,82,2,3112.52
SPLR1280,Supplier_280,Tiles,Bangalore,2.9,878,26,2786.45
SPLR1281,Supplier_281,Wood,Pune,3.0,999,24,2914.15
SPLR1282,Supplier_282,Cement,Kolkata,4.3,688,5,2886.44
SPLR1283,Supplier_283,Steel,Delhi,4.8,921,16,1513.99
SPLR1284,Supplier_284,Steel,Chennai,3.2,923,19,3324.08
SPLR1285,Supplier_285,Sand,Hyderabad,3.7,317,9,803.0
SPLR1286,Supplier_286,Cement,Bangalore,3.9,550,20,1141.18
SPLR1287,Supplier_287,Sand,Bangalore,3.5,507,17,1894.52
SPLR1288,Supplier_288,Electrical Wiring,Delhi,3.9,899,18,1708.74
SPLR1289,Supplier_289,Concrete,Delhi,3.1,962,15,1735.33
SPLR1290,Supplier_290,Plumbing Pipes,Jaipur,4.2,760,7,3479.32
SPLR1291,Supplier_291,Cement,Lucknow,3.7,258,5,2618.47
SPLR1292,Supplier_292,Electrical Wiring,Mumbai,2.7,313,11,3844.49
SPLR1293,Supplier_293,Steel,Chennai,3.5,85,25,2810.35
SPLR1294,Supplier_294,Plumbing Pipes,Chennai,3.2,467,27,4982.82
SPLR1295,Supplier_295,Electrical Wiring,Lucknow,4.4,614,18,2121.97
SPLR1296,Supplier_296,Sand,Lucknow,2.5,250,9,1856.41
SPLR1297,Supplier_297,Concrete,Ahmedabad,3.5,82,20,2694.36
SPLR1298,Supplier_298,Cement,Hyderabad,4.5,572,24,2689.17
SPLR1299,Supplier_299,Plumbing Pipes,Jaipur,3.0,131,20,2811.22
SPLR1300,Supplier_300,Electrical Wiring,Lucknow,4.5,707,12,963.18
SPLR1301,Supplier_301,Tiles,Hyderabad,4.5,425,25,1070.54
SPLR1302,Supplier_302,Cement,Lucknow,3.0,364,16,787.25
SPLR1303,Supplier_303,Tiles,Chennai,4.7,210,26,946.63
SPLR1304,Supplier_304,Concrete,Lucknow,3.6,538,15,3164.49
SPLR1305,Supplier_305,Wood,Kolkata,3.0,787,20,3983.62
SPLR1306,Supplier_306,Tiles,Delhi,4.1,328,8,505.43
SPLR1307,Supplier_307,Electrical Wiring,Bangalore,4.7,91,18,2083.19
SPLR1308,Supplier_308,Plumbing Pipes,Mumbai,3.3,69,13,4831.32
SPLR1309,Supplier_309,Wood,Jaipur,3.7,234,14,2258.84
SPLR1310,Supplier_310,Bricks,Bangalore,4.2,872,11,3642.75
SPLR1311,Supplier_311,Steel,Delhi,3.6,753,15,1851.29
SPLR1312,Supplier_312,Plumbing Pipes,Delhi,4.2,75,14,4819.66
SPLR1313,Supplier_313,Bricks,Kolkata,2.8,882,3,2919.08
SPLR1314,Supplier_314,Electrical Wiring,Pune,2.6,342,23,3791.08
SPLR1315,Supplier_315,Sand,Lucknow,4.5,893,27,3694.93
SPLR1316,Supplier_316,Steel,Mumbai,4.1,221,14,1676.27
SPLR1317,Supplier_317,Cement,Delhi,3.4,633,4,1157.48
SPLR1318,Supplier_318,Glass,Hyderabad,2.9,263,7,1650.22
SPLR1319,Supplier_319,Cement,Mumbai,2.6,79,16,1710.22
SPLR1320,Supplier_320,Bricks,Pune,3.8,711,13,3384.17
SPLR1321,Supplier_321,Wood,Lucknow,4.7,193,4,3298.19
SPLR1322,Supplier_322,Concrete,Chennai,4.9,823,19,1350.01
SPLR1323,Supplier_323,Electrical Wiring,Lucknow,3.9,928,28,752.88
SPLR1324,Supplier_324,Bricks,Kolkata,4.1,302,8,537.2
SPLR1325,Supplier_325,Bricks,Hyderabad,3.0,575,3,1496.05
SPLR1326,Supplier_326,Tiles,Jaipur,3.9,95,28,4089.8
SPLR1327,Supplier_327,Bricks,Kolkata,4.1,331,17,921.45
SPLR1328,Supplier_328,Concrete,Jaipur,4.0,683,24,1415.44
SPLR1329,Supplier_329,Tiles,Pune,2.6,759,21,4054.65
SPLR1330,Supplier_330,Tiles,Mumbai,3.0,404,20,3386.55
SPLR1331,Supplier_331,Electrical Wiring,Hyderabad,2.7,944,23,2192.1
SPLR1332,Supplier_332,Steel,Bangalore,4.4,996,13,3415.66
SPLR1333,Supplier_333,Tiles,Chennai,4.3,784,7,2068.82
SPLR1334,Supplier_334,Plumbing Pipes,Kolkata,3.2,601,17,687.38
SPLR1335,Supplier_335,Concrete,Mumbai,2.7,524,27,4415.17
SPLR1336,Supplier_336,Glass,Bangalore,2.8,149,24,3195.63
SPLR1337,Supplier_337,Bricks,Lucknow,3.2,487,7,4410.8
SPLR1338,Supplier_338,Wood,Ahmedabad,2.9,328,2,1094.84
SPLR1339,Supplier_339,Glass,Chennai,3.7,719,14,3775.05
SPLR1340,Supplier_340,Wood,Bangalore,4.0,963,13,2115.57
SPLR1341,Supplier_341,Sand,Jaipur,4.4,671,9,3619.4
SPLR1342,Supplier_342,Steel,Bangalore,4.7,242,18,3105.48
SPLR1343,Supplier_343,Wood,Delhi,4.3,54,1,4244.88
SPLR1344,Supplier_344,Cement,Chennai,2.8,357,27,4913.04
SPLR1345,Supplier_345,Wood,Jaipur,2.6,725,17,1016.95
SPLR1346,Supplier_346,Sand,Lucknow,3.3,948,18,4568.42
SPLR1347,Supplier_347,Glass,Ahmedabad,4.8,262,3,1091.26
SPLR1348,Supplier_348,Steel,Mumbai,4.8,660,17,1599.44
SPLR1349,Supplier_349,Glass,Chennai,4.3,987,6,2240.87
SPLR1350,Supplier_350,Bricks,Delhi,3.5,928,13,2289.94
SPLR1351,Supplier_351,Plumbing Pipes,Ahmedabad,2.7,448,25,573.3
SPLR1352,Supplier_352,Plumbing Pipes,Jaipur,4.6,579,29,4053.09
SPLR1353,Supplier_353,Tiles,Lucknow,2.8,864,6,4383.45
SPLR1354,Supplier_354,Electrical Wiring,Delhi,3.9,106,28,4448.96
SPLR1355,Supplier_355,Tiles,Jaipur,2.7,739,27,996.97
SPLR1356,Supplier_356,Electrical Wiring,Kolkata,3.4,734,7,1846.2
SPLR1357,Supplier_357,Steel,Bangalore,2.7,550,12,1361.42
SPLR1358,Supplier_358,Plumbing Pipes,Ahmedabad,2.7,616,21,3672.15
SPLR1359,Supplier_359,Electrical Wiring,Pune,3.3,721,13,3929.92
SPLR1360,Supplier_360,Plumbing Pipes,Chennai,3.9,425,24,3218.55
SPLR1361,Supplier_361,Sand,Mumbai,4.1,336,20,500.09
SPLR1362,Supplier_362,Wood,Mumbai,3.9,96,27,1059.04
