Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_131,Supplier_54,Cement,Chennai,2,212,7,306.18,114,1
Site_132,Supplier_98,Bricks,Delhi,5,493,3,184.26,76,16
Site_133,Supplier_81,Steel,Mumbai,2,64,11,369.29,141,19
Site_134,Supplier_19,Cement,Chennai,1,76,6,337.52,195,1
Site_135,Supplier_29,Steel,Delhi,5,302,7,163.09,141,5
Site_136,Supplier_40,Concrete,Chennai,5,106,4,251.13,140,19
Site_137,Supplier_98,Sand,Kolkata,2,324,3,161.15,112,12
Site_138,Supplier_19,Bricks,Mumbai,1,448,8,229.61,82,11
Site_139,Supplier_81,Bricks,Bangalore,1,192,8,322.67,82,9
Site_140,Supplier_3,Bricks,Bangalore,2,298,11,186.0,94,8
Site_141,Supplier_36,Steel,Chennai,4,74,12,272.86,84,15
Site_142,Supplier_69,Concrete,Chennai,5,339,13,414.93,92,17
Site_143,Supplier_61,Sand,Chennai,3,155,9,482.67,153,4
Site_144,Supplier_76,Steel,Delhi,1,209,10,433.31,11,4
Site_145,Supplier_58,Cement,Bangalore,4,402,13,125.91,52,0
Site_146,Supplier_40,Cement,Chennai,4,483,2,483.55,91,5
Site_147,Supplier_59,Sand,Delhi,5,247,7,395.11,43,0
Site_148,Supplier_79,Concrete,Chennai,1,127,3,414.05,109,3
Site_149,Supplier_45,Cement,Bangalore,2,242,1,183.22,118,11
Site_150,Supplier_64,Steel,Delhi,5,234,1,449.53,105,17
Site_151,Supplier_22,Bricks,Chennai,5,227,4,328.8,71,11
Site_152,Supplier_83,Bricks,Chennai,3,93,2,376.71,118,9
Site_153,Supplier_75,Sand,Kolkata,3,484,4,104.01,92,12
Site_154,Supplier_20,Bricks,Bangalore,2,291,2,400.8,188,9
Site_155,Supplier_62,Steel,Kolkata,3,217,14,139.18,114,6
Site_156,Supplier_2,Steel,Mumbai,5,426,7,274.22,150,7
Site_157,Supplier_32,Steel,Chennai,1,440,3,399.92,59,11
Site_158,Supplier_94,Steel,Bangalore,3,89,1,438.38,177,14
Site_159,Supplier_15,Cement,Chennai,1,353,8,371.71,119,16
Site_160,Supplier_82,Steel,Mumbai,2,138,12,474.14,65,17
Site_161,Supplier_63,Steel,Delhi,1,268,7,466.48,154,15
Site_162,Supplier_14,Steel,Mumbai,1,427,2,275.01,22,11
Site_163,Supplier_53,Sand,Bangalore,2,378,13,264.43,10,8
Site_164,Supplier_44,Steel,Bangalore,4,459,1,291.2,171,0
Site_165,Supplier_39,Sand,Bangalore,3,411,12,319.84,130,6
Site_166,Supplier_74,Sand,Chennai,1,467,8,163.68,165,7
Site_167,Supplier_12,Bricks,Chennai,1,310,2,106.63,88,6
Site_168,Supplier_42,Sand,Delhi,4,413,8,263.35,14,11
Site_169,Supplier_11,Sand,Delhi,1,84,9,350.7,80,7
Site_170,Supplier_60,Steel,Chennai,5,330,9,322.66,120,6
Site_171,Supplier_56,Steel,Bangalore,3,343,1,209.15,64,15
Site_172,Supplier_98,Concrete,Kolkata,3,283,6,420.08,32,11
Site_173,Supplier_1,Cement,Kolkata,4,97,8,203.71,17,16
Site_174,Supplier_94,Cement,Chennai,5,78,1,102.66,190,17
Site_175,Supplier_10,Sand,Delhi,1,351,8,395.67,61,0
Site_176,Supplier_83,Concrete,Mumbai,3,55,3,195.91,170,4
Site_177,Supplier_2,Concrete,Delhi,3,182,14,118.21,39,15
Site_178,Supplier_70,Cement,Mumbai,1,233,4,403.98,186,19
Site_179,Supplier_24,Steel,Mumbai,3,336,9,136.87,20,9
Site_180,Supplier_68,Concrete,Chennai,4,378,5,143.69,131,10
Site_181,Supplier_17,Sand,Mumbai,4,499,4,331.19,102,18
Site_182,Supplier_76,Sand,Chennai,5,202,9,180.82,173,13
Site_183,Supplier_90,Steel,Bangalore,1,172,5,432.41,40,19
Site_184,Supplier_96,Cement,Mumbai,1,100,11,156.88,175,6
Site_185,Supplier_47,Bricks,Delhi,2,422,1,105.51,113,4
Site_186,Supplier_32,Steel,Chennai,3,325,3,210.13,73,4
Site_187,Supplier_64,Sand,Delhi,2,439,10,349.68,135,8
Site_188,Supplier_82,Cement,Delhi,1,146,7,185.54,18,2
Site_189,Supplier_14,Sand,Delhi,5,345,10,370.33,94,16
Site_190,Supplier_31,Concrete,Delhi,4,68,7,182.15,170,0
Site_191,Supplier_89,Cement,Mumbai,5,396,4,240.86,86,9
Site_192,Supplier_66,Cement,Chennai,3,133,5,128.93,11,16
Site_193,Supplier_26,Cement,Bangalore,4,191,13,429.57,93,19
Site_194,Supplier_52,Concrete,Kolkata,5,467,14,373.22,23,13
Site_195,Supplier_74,Steel,Kolkata,1,73,6,197.59,38,13
Site_196,Supplier_21,Cement,Delhi,4,216,13,219.58,130,15
Site_197,Supplier_48,Sand,Kolkata,2,115,5,223.5,167,17
Site_198,Supplier_73,Concrete,Mumbai,1,321,9,188.37,177,19
Site_199,Supplier_85,Steel,Kolkata,1,333,7,442.18,119,17
Site_200,Supplier_38,Cement,Chennai,5,166,6,424.65,58,10
Site_201,Supplier_65,Sand,Bangalore,5,349,10,216.94,135,3
Site_202,Supplier_99,Bricks,Mumbai,5,270,2,252.23,37,14
Site_203,Supplier_27,Steel,Chennai,5,437,6,432.72,126,4
Site_204,Supplier_51,Concrete,Kolkata,1,323,9,399.12,131,0
Site_205,Supplier_87,Concrete,Chennai,4,434,4,165.84,138,9
Site_206,Supplier_65,Steel,Mumbai,5,409,9,414.53,158,19
Site_207,Supplier_91,Bricks,Kolkata,3,94,7,331.95,20,17
Site_208,Supplier_68,Steel,Mumbai,1,200,4,323.16,71,8
Site_209,Supplier_98,Sand,Chennai,4,56,14,271.83,132,13
Site_210,Supplier_36,Cement,Delhi,4,59,12,219.17,32,5
Site_211,Supplier_67,Cement,Delhi,5,263,14,493.59,79,6
Site_212,Supplier_74,Bricks,Mumbai,5,149,1,447.65,187,7
Site_213,Supplier_63,Cement,Kolkata,2,201,9,497.99,19,9
Site_214,Supplier_9,Cement,Chennai,1,403,11,327.92,158,11
Site_215,Supplier_99,Sand,Delhi,3,195,11,399.24,140,19
Site_216,Supplier_70,Bricks,Chennai,4,77,9,102.46,35,18
Site_217,Supplier_4,Cement,Delhi,2,53,11,123.61,22,7
Site_218,Supplier_50,Bricks,Bangalore,3,462,11,225.04,166,19
Site_219,Supplier_87,Cement,Bangalore,4,499,14,115.22,148,4
Site_220,Supplier_69,Steel,Kolkata,2,256,8,346.16,90,11
Site_221,Supplier_63,Sand,Mumbai,4,386,14,191.99,60,7
Site_222,Supplier_92,Cement,Chennai,4,437,12,353.32,137,3
Site_223,Supplier_45,Steel,Mumbai,1,248,13,391.34,12,14
Site_224,Supplier_56,Concrete,Mumbai,2,451,3,272.35,162,10
Site_225,Supplier_2,Concrete,Kolkata,2,301,8,359.84,67,6
Site_226,Supplier_60,Sand,Chennai,2,76,8,227.67,18,17
Site_227,Supplier_70,Bricks,Kolkata,3,197,9,108.36,117,1
Site_228,Supplier_74,Cement,Mumbai,2,305,7,181.97,161,10
Site_229,Supplier_39,Concrete,Bangalore,3,241,9,146.94,66,16
Site_230,Supplier_76,Bricks,Chennai,3,298,11,470.65,151,8
Site_231,Supplier_86,Cement,Mumbai,4,467,8,283.06,94,1
Site_232,Supplier_7,Sand,Mumbai,2,282,6,295.25,129,16
Site_233,Supplier_71,Concrete,Chennai,5,60,5,131.54,50,4
Site_234,Supplier_98,Steel,Chennai,3,74,12,380.93,102,10
Site_235,Supplier_66,Bricks,Chennai,4,50,2,431.21,118,4
Site_236,Supplier_93,Concrete,Mumbai,3,412,7,217.43,137,9
Site_237,Supplier_9,Steel,Bangalore,2,445,9,116.19,119,5
Site_238,Supplier_65,Cement,Mumbai,2,486,5,448.33,72,18
Site_239,Supplier_49,Sand,Chennai,2,441,13,303.18,119,15
Site_240,Supplier_94,Cement,Kolkata,5,100,14,229.59,67,11
Site_241,Supplier_83,Cement,Bangalore,4,107,5,257.82,95,18
Site_242,Supplier_58,Steel,Chennai,1,157,2,177.09,157,0
Site_243,Supplier_95,Sand,Kolkata,3,229,1,206.95,162,1
Site_244,Supplier_95,Steel,Kolkata,4,217,1,293.36,36,0
Site_245,Supplier_59,Sand,Bangalore,2,453,2,217.56,184,13
Site_246,Supplier_10,Steel,Bangalore,5,115,7,131.94,62,17
Site_247,Supplier_42,Steel,Delhi,4,142,2,421.65,38,7
Site_248,Supplier_38,Steel,Kolkata,2,406,7,173.47,95,13
Site_249,Supplier_62,Cement,Delhi,4,151,7,487.04,112,4
Site_250,Supplier_26,Steel,Delhi,3,172,8,410.46,42,4
Site_251,Supplier_24,Concrete,Bangalore,5,172,1,149.31,126,4
Site_252,Supplier_54,Sand,Mumbai,1,233,4,154.48,94,6
Site_253,Supplier_97,Steel,Delhi,5,216,5,335.53,199,12
Site_254,Supplier_50,Cement,Kolkata,2,151,4,420.24,142,1
Site_255,Supplier_88,Bricks,Chennai,4,61,3,172.75,57,5
Site_256,Supplier_55,Concrete,Kolkata,2,422,5,209.38,142,5
Site_257,Supplier_25,Concrete,Chennai,1,421,9,347.48,99,7
Site_258,Supplier_5,Steel,Mumbai,1,184,3,495.17,143,18
Site_259,Supplier_73,Concrete,Kolkata,3,247,1,408.03,178,14
Site_260,Supplier_31,Cement,Kolkata,2,307,3,334.08,27,4
Site_261,Supplier_50,Bricks,Mumbai,5,311,7,261.99,92,8
Site_262,Supplier_65,Cement,Kolkata,5,72,12,187.1,119,5
Site_263,Supplier_26,Sand,Delhi,5,236,12,131.31,141,10
Site_264,Supplier_52,Concrete,Chennai,2,401,1,250.26,144,0
Site_265,Supplier_4,Cement,Bangalore,4,279,14,141.97,132,12
Site_266,Supplier_5,Bricks,Delhi,3,350,13,457.88,175,7
Site_267,Supplier_70,Bricks,Mumbai,3,72,5,181.44,21,7
Site_268,Supplier_42,Steel,Chennai,1,199,9,357.0,160,17
Site_269,Supplier_27,Bricks,Chennai,4,76,10,164.31,113,9
Site_270,Supplier_71,Bricks,Kolkata,1,377,2,484.45,106,14
Site_271,Supplier_76,Concrete,Mumbai,3,98,13,128.78,17,0
Site_272,Supplier_66,Steel,Mumbai,1,226,5,194.86,108,9
Site_273,Supplier_6,Concrete,Chennai,2,57,3,205.18,129,7
Site_274,Supplier_20,Concrete,Delhi,5,109,9,490.58,54,17
Site_275,Supplier_2,Steel,Kolkata,2,360,3,265.62,15,18
Site_276,Supplier_35,Steel,Delhi,2,285,2,160.94,41,10
Site_277,Supplier_40,Cement,Chennai,4,437,6,319.62,96,12
Site_278,Supplier_94,Steel,Kolkata,1,147,8,346.69,66,3
Site_279,Supplier_90,Bricks,Bangalore,3,161,1,126.58,129,17
Site_280,Supplier_75,Sand,Delhi,2,331,8,406.45,65,1
Site_281,Supplier_65,Concrete,Mumbai,5,224,5,450.5,36,4
Site_282,Supplier_6,Cement,Kolkata,3,476,12,490.1,196,13
Site_283,Supplier_29,Cement,Chennai,2,263,3,195.83,161,9
Site_284,Supplier_74,Concrete,Delhi,2,427,12,194.3,143,2
Site_285,Supplier_95,Steel,Bangalore,4,254,1,105.4,92,14
Site_286,Supplier_52,Bricks,Mumbai,5,408,7,455.24,83,5
Site_287,Supplier_33,Cement,Delhi,4,354,12,490.25,87,6
Site_288,Supplier_71,Steel,Delhi,3,448,8,476.3,129,12
Site_289,Supplier_47,Steel,Kolkata,2,261,5,363.9,137,17
Site_290,Supplier_89,Bricks,Kolkata,5,214,7,314.64,188,0
Site_291,Supplier_20,Sand,Kolkata,3,320,1,182.82,86,3
Site_292,Supplier_37,Sand,Chennai,3,274,1,373.6,140,10
Site_293,Supplier_99,Bricks,Kolkata,4,406,14,389.26,51,15
Site_294,Supplier_30,Sand,Bangalore,1,372,12,157.37,82,6
Site_295,Supplier_23,Sand,Chennai,3,84,13,137.77,49,6
Site_296,Supplier_21,Bricks,Chennai,2,295,10,470.13,175,11
Site_297,Supplier_27,Bricks,Kolkata,1,177,5,162.69,130,19
Site_298,Supplier_39,Sand,Bangalore,1,462,8,105.18,137,9
Site_299,Supplier_72,Sand,Bangalore,4,244,12,224.44,150,10
Site_300,Supplier_45,Sand,Chennai,4,265,12,486.16,177,12
Site_301,Supplier_24,Sand,Delhi,3,497,5,318.27,169,7
Site_302,Supplier_77,Concrete,Chennai,2,452,9,194.35,38,9
Site_303,Supplier_65,Sand,Delhi,3,370,10,223.63,112,15
Site_304,Supplier_97,Sand,Mumbai,4,182,14,378.39,74,8
Site_305,Supplier_50,Concrete,Kolkata,2,335,6,139.35,128,7
Site_306,Supplier_79,Cement,Kolkata,2,141,14,299.99,158,3
Site_307,Supplier_16,Concrete,Chennai,3,447,4,195.23,177,11
Site_308,Supplier_12,Sand,Mumbai,5,149,12,286.27,132,11
Site_309,Supplier_74,Cement,Kolkata,3,312,10,101.03,187,0
Site_310,Supplier_88,Sand,Mumbai,1,439,13,378.34,59,15
Site_311,Supplier_25,Steel,Kolkata,5,228,6,244.02,26,0
Site_312,Supplier_7,Concrete,Chennai,3,285,12,181.7,99,0
Site_313,Supplier_3,Concrete,Delhi,5,327,9,448.68,118,10
Site_314,Supplier_98,Cement,Kolkata,2,361,12,469.48,146,18
Site_315,Supplier_25,Sand,Chennai,2,445,14,380.06,74,13
Site_316,Supplier_30,Steel,Delhi,5,338,3,366.15,132,9
Site_317,Supplier_61,Bricks,Chennai,5,160,14,441.99,74,1
Site_318,Supplier_70,Bricks,Mumbai,1,453,4,480.45,123,3
Site_319,Supplier_24,Bricks,Kolkata,2,369,4,472.26,163,7
Site_320,Supplier_29,Concrete,Delhi,4,121,4,157.54,187,1
Site_321,Supplier_7,Steel,Kolkata,1,298,7,328.26,143,9
Site_322,Supplier_49,Concrete,Delhi,3,375,10,467.37,178,4
Site_323,Supplier_94,Steel,Chennai,3,215,1,314.35,132,2
Site_324,Supplier_5,Sand,Kolkata,3,266,6,212.25,29,13
Site_325,Supplier_77,Cement,Mumbai,5,142,9,266.3,81,16
Site_326,Supplier_16,Cement,Bangalore,5,433,5,384.23,74,17
Site_327,Supplier_96,Cement,Chennai,2,296,4,374.24,163,6
Site_328,Supplier_7,Bricks,Chennai,1,435,13,299.88,54,3
Site_329,Supplier_50,Concrete,Delhi,2,171,6,474.87,54,12
Site_330,Supplier_56,Steel,Mumbai,5,75,8,446.39,199,6
Site_331,Supplier_4,Sand,Delhi,2,271,5,485.27,121,11
Site_332,Supplier_17,Cement,Mumbai,5,326,14,427.09,70,9
Site_333,Supplier_9,Sand,Delhi,2,174,14,329.06,12,0
Site_334,Supplier_73,Bricks,Kolkata,3,256,11,389.36,122,11
Site_335,Supplier_13,Concrete,Kolkata,4,261,8,439.24,193,13
Site_336,Supplier_11,Bricks,Kolkata,4,189,7,334.79,168,2
Site_337,Supplier_63,Steel,Kolkata,5,411,12,109.26,13,1
Site_338,Supplier_47,Steel,Delhi,4,142,4,142.56,21,5
Site_339,Supplier_3,Sand,Bangalore,4,323,8,150.0,134,10
Site_340,Supplier_90,Steel,Delhi,4,162,10,202.43,156,11
Site_341,Supplier_22,Sand,Chennai,1,366,7,286.6,44,8
Site_342,Supplier_43,Steel,Delhi,4,303,10,471.36,23,2
Site_343,Supplier_1,Sand,Chennai,3,335,14,411.8,31,0
Site_344,Supplier_35,Concrete,Delhi,3,452,13,130.75,48,11
Site_345,Supplier_67,Steel,Mumbai,5,289,6,319.51,62,12
Site_346,Supplier_68,Sand,Bangalore,5,276,12,414.82,107,6
Site_347,Supplier_30,Sand,Bangalore,4,208,12,499.35,130,11
Site_348,Supplier_71,Bricks,Bangalore,4,487,14,400.72,44,19
Site_349,Supplier_97,Cement,Delhi,2,184,10,134.55,199,0
Site_350,Supplier_33,Concrete,Kolkata,3,260,2,152.29,55,4
Site_351,Supplier_35,Concrete,Bangalore,3,108,1,125.36,145,17
Site_352,Supplier_95,Steel,Bangalore,1,379,6,111.54,166,14
Site_353,Supplier_21,Sand,Mumbai,1,352,14,323.2,25,1
Site_354,Supplier_99,Bricks,Delhi,4,97,14,343.98,65,14
Site_355,Supplier_11,Concrete,Delhi,1,447,9,458.88,185,7
Site_356,Supplier_67,Sand,Chennai,4,369,7,322.46,77,16
Site_357,Supplier_45,Sand,Bangalore,5,211,5,202.45,37,15
Site_358,Supplier_38,Concrete,Chennai,3,76,10,431.3,112,16
Site_359,Supplier_57,Cement,Bangalore,5,372,5,496.89,125,3
Site_360,Supplier_34,Steel,Chennai,4,123,10,448.76,83,10
Site_361,Supplier_79,Concrete,Chennai,5,227,13,359.88,97,6
Site_362,Supplier_57,Concrete,Delhi,1,391,10,447.66,48,5
Site_363,Supplier_32,Bricks,Delhi,5,437,12,106.37,45,3
Site_364,Supplier_5,Bricks,Kolkata,5,342,11,367.85,195,9
Site_365,Supplier_92,Steel,Kolkata,5,98,5,444.09,188,6
Site_366,Supplier_65,Cement,Kolkata,3,408,9,290.79,55,12
Site_367,Supplier_35,Sand,Mumbai,1,465,9,481.97,68,12
Site_368,Supplier_22,Steel,Delhi,4,475,4,228.31,14,16
Site_369,Supplier_50,Concrete,Chennai,3,197,14,131.09,125,19
Site_370,Supplier_82,Steel,Bangalore,3,124,4,319.02,85,6
Site_371,Supplier_86,Bricks,Kolkata,1,486,12,414.51,176,9
Site_372,Supplier_22,Bricks,Bangalore,2,486,6,232.85,123,4
Site_373,Supplier_38,Cement,Delhi,4,488,12,411.79,89,10
Site_374,Supplier_79,Bricks,Chennai,4,69,11,244.3,134,9
Site_375,Supplier_52,Concrete,Bangalore,3,72,1,260.71,107,2
Site_376,Supplier_53,Cement,Delhi,4,475,14,133.94,102,10
Site_377,Supplier_82,Sand,Kolkata,1,174,8,379.46,178,18
Site_378,Supplier_1,Concrete,Delhi,4,415,13,229.19,178,15
Site_379,Supplier_35,Cement,Kolkata,1,96,3,205.05,183,8
Site_380,Supplier_5,Cement,Bangalore,4,67,12,360.86,45,7
Site_381,Supplier_89,Sand,Delhi,1,260,8,203.09,13,17
Site_382,Supplier_10,Steel,Chennai,3,105,11,324.24,184,14
Site_383,Supplier_80,Cement,Kolkata,5,374,12,231.5,39,9
Site_384,Supplier_7,Steel,Chennai,3,227,13,442.12,99,5
Site_385,Supplier_7,Cement,Chennai,2,214,14,367.85,22,19
