Project ID,City,Tunnel Length (km),Num of Stations,Num of Workers,Equipment Factor (%),Signal System Complexity (%),Material Factor (%),Gov Regulation Factor (%),Urban Congestion Impact (%),Expected Completion Time (months),Budget (in Crores),Delay time (days),Risk Level
METRO-0079,Hyderabad,22.34,53,2252,0,12,32,97,36,103,4698.93,283,Low
METRO-0080,Mumbai,19.53,15,4027,81,59,90,53,61,59,2038.72,58,Medium
METRO-0081,Mumbai,37.64,56,2931,75,35,67,30,31,94,1085.28,280,Medium
METRO-0082,Kolkata,45.73,71,2450,48,61,63,79,39,116,4575.3,247,Medium
METRO-0083,Hyderabad,37.99,89,3248,71,62,96,97,87,77,1325.53,6,High
METRO-0084,Kolkata,12.13,79,3189,19,66,62,98,6,51,2093.82,63,Medium
METRO-0085,Kolkata,44.53,12,3741,98,15,7,83,72,103,2397.48,152,Medium
METRO-0086,Hyderabad,19.99,35,2789,41,77,58,89,92,25,4368.96,353,High
METRO-0087,Delhi,29.24,78,273,15,39,8,66,85,52,3129.33,142,Medium
METRO-0088,Kolkata,41.74,10,1524,32,47,11,57,76,83,3190.26,354,Medium
METRO-0089,Chennai,10.23,85,4003,88,45,57,72,61,81,3967.26,205,Medium
METRO-0090,Chennai,39.44,75,548,82,4,48,85,48,28,4991.87,19,Medium
METRO-0091,Mumbai,30.21,17,1550,98,24,43,2,66,36,4839.82,255,Medium
METRO-0092,Chennai,44.77,10,4273,15,37,10,76,96,93,1087.89,238,Medium
METRO-0093,Mumbai,9.43,71,2586,15,53,15,33,4,82,4930.47,316,Low
METRO-0094,Delhi,21.61,31,881,47,92,65,11,72,31,3759.65,51,Medium
METRO-0095,Hyderabad,41.81,49,3668,88,80,37,58,89,96,3363.16,106,Medium
METRO-0096,Hyderabad,1.94,30,271,95,72,42,78,74,104,2284.3,188,High
METRO-0097,Hyderabad,6.5,8,3869,54,81,66,43,11,25,4964.75,305,Medium
METRO-0098,Chennai,49.54,41,2508,27,75,98,43,89,33,1919.85,172,Medium
METRO-0099,Delhi,14.74,25,2383,72,44,72,57,60,27,4767.35,100,Medium
METRO-0100,Chennai,48.8,32,532,81,38,58,49,75,58,2101.72,222,Medium
METRO-0101,Chennai,9.94,86,2885,22,27,99,72,75,72,1139.03,100,Medium
METRO-0102,Delhi,18.69,36,1959,29,52,6,77,98,111,3332.65,88,Medium
METRO-0103,Delhi,37.89,57,1450,60,53,25,37,15,42,4455.1,185,Low
METRO-0104,Delhi,33.23,37,4019,95,95,75,89,22,30,4764.59,281,High
METRO-0105,Delhi,29.47,30,2774,87,19,79,47,80,53,4186.41,272,Medium
METRO-0106,Hyderabad,26.97,21,648,74,54,30,90,47,85,2287.37,210,Medium
METRO-0107,Bangalore,42.33,60,3674,25,64,23,33,71,46,3988.14,149,Medium
METRO-0108,Bangalore,12.51,97,3738,10,75,64,43,24,93,598.99,91,Medium
METRO-0109,Delhi,22.68,88,266,19,21,55,54,84,92,1326.7,289,Medium
METRO-0110,Bangalore,8.62,34,3612,43,50,62,59,27,50,3080.39,33,Medium
METRO-0111,Bangalore,30.2,9,3860,17,71,25,31,36,45,1777.77,125,Low
METRO-0112,Delhi,13.28,10,2500,33,11,57,15,44,36,3530.53,229,Low
METRO-0113,Bangalore,17.36,66,3270,99,58,26,30,26,98,3596.77,285,Medium
METRO-0114,Chennai,24.09,14,1747,3,53,68,41,54,44,3271.81,179,Medium
METRO-0115,Mumbai,2.31,74,3289,84,52,37,78,78,55,3677.93,141,Medium
METRO-0116,Mumbai,5.5,14,3845,89,87,46,37,45,70,1899.57,68,Medium
METRO-0117,Delhi,34.61,89,4548,13,37,90,92,70,29,1479.05,297,Medium
METRO-0118,Hyderabad,22.02,48,2721,89,91,20,85,39,85,547.69,284,Medium
METRO-0119,Delhi,43.37,60,3501,12,11,78,3,18,87,3458.56,353,Low
METRO-0120,Hyderabad,35.04,8,4934,89,94,11,93,38,35,3134.39,134,Medium
METRO-0121,Mumbai,1.4,17,642,40,91,74,31,66,61,1996.13,206,Medium
METRO-0122,Delhi,31.22,78,1439,78,72,24,67,48,30,2062.07,173,Medium
METRO-0123,Kolkata,5.59,84,3684,90,85,67,0,19,86,1451.77,192,Medium
METRO-0124,Chennai,39.27,23,667,56,6,85,35,40,34,2048.37,263,Medium
METRO-0125,Bangalore,49.58,74,3638,86,67,42,6,46,51,1862.1,183,Medium
METRO-0126,Hyderabad,27.03,94,2845,21,28,50,43,68,52,4873.89,16,Medium
METRO-0127,Kolkata,34.46,66,3774,9,44,90,23,85,63,2757.97,247,Medium
METRO-0128,Bangalore,12.63,13,2040,68,9,88,32,96,50,3118.5,267,Medium
METRO-0129,Bangalore,22.44,50,4878,67,84,23,78,3,55,594.23,54,Medium
METRO-0130,Delhi,42.95,60,1860,49,3,8,88,3,96,4223.38,81,Low
METRO-0131,Bangalore,9.2,78,2329,99,23,21,24,60,43,3898.13,89,Medium
METRO-0132,Chennai,14.01,44,4045,15,84,26,77,37,110,2810.28,125,Medium
METRO-0133,Kolkata,22.83,71,2801,95,81,60,57,57,67,3997.81,195,Medium
METRO-0134,Bangalore,35.9,87,1128,10,25,87,11,76,119,1236.68,97,Low
METRO-0135,Delhi,19.42,66,4580,96,55,64,75,68,80,2514.57,219,High
METRO-0136,Chennai,46.46,50,3803,98,71,64,79,93,78,1579.69,129,High
METRO-0137,Mumbai,5.63,10,841,67,22,13,88,80,25,3165.0,9,Medium
METRO-0138,Kolkata,19.17,33,1875,86,8,92,10,82,87,3300.99,278,Medium
METRO-0139,Bangalore,35.74,23,2334,66,24,19,68,22,67,4934.42,296,Medium
METRO-0140,Delhi,12.07,19,1713,19,99,96,77,10,96,585.97,337,Medium
METRO-0141,Mumbai,33.16,61,3636,64,31,44,43,84,74,2111.34,150,Medium
METRO-0142,Mumbai,9.05,42,657,32,6,38,92,86,82,4764.39,147,Medium
METRO-0143,Hyderabad,3.74,25,4310,9,96,83,65,25,99,4861.34,247,Medium
METRO-0144,Chennai,6.93,55,1467,66,58,80,51,93,57,3064.4,230,Medium
METRO-0145,Bangalore,46.57,43,957,54,58,29,65,8,42,3053.03,341,Medium
METRO-0146,Delhi,28.04,91,3121,31,94,76,49,85,114,2408.05,338,Medium
METRO-0147,Hyderabad,40.02,24,4434,44,61,85,11,60,26,1458.97,289,Medium
METRO-0148,Chennai,17.3,6,1910,58,16,63,68,20,80,836.13,359,Medium
METRO-0149,Hyderabad,30.04,36,2456,30,34,72,75,8,71,2226.39,249,Medium
METRO-0150,Kolkata,25.25,96,4165,84,85,91,32,96,79,2053.57,188,High
METRO-0151,Chennai,47.34,8,4257,87,57,22,57,36,42,2991.14,98,Medium
METRO-0152,Chennai,37.63,11,4901,87,28,22,9,25,79,2062.8,213,Low
METRO-0153,Bangalore,36.8,7,3539,51,62,31,52,57,88,2436.76,362,Medium
METRO-0154,Chennai,3.27,29,3606,9,55,80,48,78,78,3223.48,9,Medium
METRO-0155,Hyderabad,27.93,13,4487,5,62,39,34,83,118,3676.67,222,Medium
METRO-0156,Chennai,23.88,91,846,91,81,37,76,30,101,558.86,329,Medium
METRO-0157,Bangalore,46.46,91,340,0,46,61,48,37,56,1450.11,203,Low
METRO-0158,Bangalore,13.61,30,1252,45,73,42,9,53,52,1349.32,343,Medium
METRO-0159,Kolkata,14.22,68,1052,73,14,91,56,63,98,2378.25,220,Medium
METRO-0160,Hyderabad,21.16,22,4039,29,56,84,62,91,87,860.66,352,Medium
METRO-0161,Mumbai,12.93,92,2674,78,6,53,78,26,44,4559.2,24,Medium
METRO-0162,Mumbai,7.33,95,3400,77,77,40,62,42,93,2406.74,2,Medium
METRO-0163,Chennai,43.01,6,3315,62,89,51,37,0,42,4244.29,219,Medium
METRO-0164,Kolkata,28.36,5,4937,87,17,54,72,74,37,4649.52,194,Medium
METRO-0165,Delhi,43.21,52,275,62,81,93,60,63,72,1417.0,25,High
METRO-0166,Chennai,41.73,84,1176,73,5,44,89,40,41,2730.76,94,Medium
METRO-0167,Kolkata,14.82,67,434,89,42,82,65,48,82,4865.63,246,Medium
METRO-0168,Hyderabad,27.84,92,4854,0,88,45,33,84,81,4194.62,95,Medium
METRO-0169,Hyderabad,5.08,40,3411,19,56,49,21,67,25,692.42,17,Medium
METRO-0170,Hyderabad,45.85,67,4638,28,40,50,75,57,107,4858.0,71,Medium
METRO-0171,Hyderabad,20.81,79,1830,33,75,86,16,40,25,604.3,335,Medium
METRO-0172,Hyderabad,20.29,30,3953,65,50,69,81,91,73,652.95,274,High
METRO-0173,Kolkata,15.84,10,4961,65,60,18,84,27,26,3399.16,244,Medium
METRO-0174,Kolkata,23.57,30,1824,1,93,67,85,91,62,3351.68,147,Medium
METRO-0175,Bangalore,13.34,97,902,71,18,48,84,55,105,4221.25,7,Medium
METRO-0176,Mumbai,19.37,47,1011,53,20,22,98,18,44,1866.49,277,Medium
METRO-0177,Hyderabad,40.2,5,4266,88,79,4,88,24,53,2676.51,72,Medium
METRO-0178,Delhi,41.88,13,3078,17,34,63,99,42,110,4345.81,306,Medium
METRO-0179,Kolkata,15.9,31,3604,80,70,32,12,61,80,3899.98,138,Medium
METRO-0180,Delhi,23.98,75,3167,29,53,75,82,62,32,2412.34,62,Medium
METRO-0181,Delhi,43.82,7,435,7,82,99,14,69,26,4333.82,59,Medium
METRO-0182,Delhi,3.58,65,4614,41,25,58,73,18,113,2670.85,105,Medium
METRO-0183,Bangalore,44.57,77,3980,28,40,51,70,54,43,2887.1,14,Medium
METRO-0184,Kolkata,11.74,6,4432,50,81,92,87,82,67,3136.84,227,High
METRO-0185,Delhi,34.25,78,2115,82,11,77,12,89,46,2176.9,279,Medium
METRO-0186,Hyderabad,29.55,85,3759,23,4,6,90,14,73,1791.74,201,Low
METRO-0187,Chennai,28.09,35,4701,81,25,42,62,18,110,3554.95,18,Medium
METRO-0188,Delhi,43.11,69,498,9,4,47,6,99,60,1207.17,286,Low
METRO-0189,Bangalore,5.98,22,2758,15,37,41,69,10,83,2753.32,352,Low
METRO-0190,Kolkata,18.0,10,3494,49,81,61,79,10,28,1933.5,281,Medium
METRO-0191,Bangalore,27.37,46,4197,40,5,19,68,63,101,2212.65,327,Low
METRO-0192,Delhi,40.75,72,3356,53,0,36,36,61,61,2576.94,212,Low
METRO-0193,Kolkata,11.61,8,115,43,74,77,76,95,110,1415.02,236,High
METRO-0194,Chennai,40.34,8,4474,59,79,97,25,71,71,2703.09,259,Medium
METRO-0195,Delhi,20.58,69,1676,68,89,40,46,50,99,3807.41,222,Medium
METRO-0196,Bangalore,10.26,45,3034,78,38,40,16,1,79,1556.2,359,Low
METRO-0197,Mumbai,38.19,47,477,22,48,86,74,46,104,4338.37,27,Medium
METRO-0198,Hyderabad,5.45,99,1479,94,81,4,77,58,100,2453.94,267,Medium
METRO-0199,Bangalore,26.22,59,3413,93,99,32,54,75,103,3853.43,204,Medium
METRO-0200,Kolkata,4.13,23,853,70,36,47,21,64,85,3560.12,312,Medium
METRO-0201,Delhi,18.46,25,1407,19,89,43,38,92,114,2332.33,225,Medium
METRO-0202,Hyderabad,30.45,62,1758,38,96,73,94,78,80,4151.53,348,High
METRO-0203,Delhi,28.25,34,4632,2,0,9,98,51,47,634.71,266,Low
METRO-0204,Kolkata,20.83,11,4874,2,90,60,40,28,60,1673.49,5,Medium
METRO-0205,Delhi,22.02,73,4720,30,36,10,98,40,83,552.18,122,Medium
METRO-0206,Mumbai,12.11,68,153,6,85,57,45,48,96,4068.07,118,Medium
METRO-0207,Hyderabad,23.34,6,2160,0,18,82,92,32,40,1105.77,19,Medium
METRO-0208,Hyderabad,47.71,71,3742,55,76,50,28,91,66,2341.46,98,Medium
METRO-0209,Kolkata,42.67,83,179,26,36,98,91,13,110,3248.32,288,Medium
METRO-0210,Mumbai,8.12,78,2623,64,55,14,19,32,35,4866.26,55,Low
METRO-0211,Bangalore,2.46,13,3218,69,66,90,68,14,27,4999.16,141,Medium
METRO-0212,Delhi,46.74,27,3702,83,90,4,57,22,28,4414.87,7,Medium
METRO-0213,Chennai,26.81,18,385,38,34,60,27,59,118,2919.27,237,Medium
METRO-0214,Delhi,27.35,58,3538,2,72,12,30,82,30,1096.13,75,Low
METRO-0215,Delhi,39.26,49,1676,58,83,44,85,5,78,2124.97,58,Medium
METRO-0216,Bangalore,16.42,20,1043,1,25,22,63,26,98,4393.91,125,Low
METRO-0217,Delhi,24.61,88,327,46,45,15,91,11,73,4806.4,284,Medium
METRO-0218,Mumbai,48.46,76,2076,95,34,35,26,90,99,3458.15,280,Medium
METRO-0219,Mumbai,33.94,99,2318,19,84,9,89,42,61,4126.58,8,Medium
METRO-0220,Hyderabad,8.53,61,1620,99,95,95,25,54,24,4094.54,8,High
METRO-0221,Kolkata,7.53,12,3416,26,21,44,49,24,95,4832.31,278,Low
METRO-0222,Chennai,11.01,29,2084,83,13,2,26,44,104,4139.54,333,Low
METRO-0223,Delhi,38.57,45,3564,18,28,36,91,83,75,2135.17,89,Medium
METRO-0224,Delhi,15.47,66,4719,54,57,7,37,64,44,2645.55,1,Medium
METRO-0225,Bangalore,2.05,81,1850,62,30,0,18,93,27,1600.89,275,Low
METRO-0226,Kolkata,47.26,22,3823,84,16,82,6,73,72,1201.62,120,Medium
METRO-0227,Mumbai,9.32,54,2445,42,22,71,40,7,51,2088.96,267,Low
METRO-0228,Chennai,1.47,45,1560,83,58,86,92,9,118,3528.88,334,Medium
METRO-0229,Hyderabad,12.62,38,4673,4,35,64,87,48,109,3172.54,53,Medium
METRO-0230,Mumbai,12.52,85,1308,19,88,29,85,63,32,3884.42,181,Medium
METRO-0231,Kolkata,21.68,16,3895,75,81,67,7,92,76,4525.31,77,Medium
METRO-0232,Hyderabad,46.1,84,2608,60,58,84,19,12,71,727.74,28,Medium
METRO-0233,Bangalore,44.08,81,2581,61,79,84,22,8,113,1622.15,181,Medium
METRO-0234,Bangalore,23.39,79,1767,73,1,36,75,83,68,4012.21,223,Medium
METRO-0235,Delhi,21.13,82,1596,62,89,83,27,91,47,4653.8,273,Medium
METRO-0236,Kolkata,28.2,46,2943,21,97,27,22,88,79,4713.17,128,Medium
METRO-0237,Chennai,12.93,59,4816,37,11,88,49,84,75,1331.86,332,Medium
METRO-0238,Hyderabad,3.56,96,1531,91,9,96,20,76,87,958.68,251,Medium
METRO-0239,Mumbai,47.02,63,2020,11,92,54,24,20,27,4691.73,158,Medium
METRO-0240,Kolkata,10.15,55,1029,73,1,61,32,12,96,798.91,156,Low
METRO-0241,Kolkata,10.72,92,4582,60,15,14,67,76,102,3479.38,124,Medium
METRO-0242,Bangalore,24.15,57,3512,98,35,96,72,11,56,2294.57,348,Medium
METRO-0243,Delhi,25.09,85,2040,47,48,66,57,63,28,1753.68,156,Medium
METRO-0244,Delhi,1.9,13,4409,16,35,15,84,15,85,1730.32,260,Low
METRO-0245,Hyderabad,8.25,98,691,90,85,42,47,78,113,2115.18,159,Medium
METRO-0246,Bangalore,19.53,7,465,51,5,89,64,84,26,2131.65,175,Medium
METRO-0247,Kolkata,34.5,12,2321,45,98,92,88,36,119,4169.1,90,High
METRO-0248,Chennai,12.19,86,372,55,94,20,31,98,76,2892.61,118,Medium
METRO-0249,Bangalore,21.73,63,3721,28,1,94,80,93,71,4736.83,106,Medium
METRO-0250,Hyderabad,28.31,34,3742,89,98,95,61,35,44,3377.56,335,High
METRO-0251,Hyderabad,44.54,71,4685,72,27,71,13,80,76,2337.39,176,Medium
METRO-0252,Bangalore,16.98,59,701,50,6,42,57,39,24,2896.19,302,Low
METRO-0253,Hyderabad,7.54,38,3242,75,20,6,45,62,49,4727.37,160,Medium
METRO-0254,Bangalore,24.97,47,711,25,61,6,84,67,50,4254.91,229,Medium
METRO-0255,Mumbai,37.59,32,426,96,88,52,66,45,70,4659.75,255,High
METRO-0256,Bangalore,6.38,41,1806,95,81,57,99,27,56,3684.79,361,High
METRO-0257,Bangalore,21.81,93,4542,74,40,91,64,74,108,3346.76,138,Medium
METRO-0258,Hyderabad,1.87,34,4361,28,42,18,16,59,117,1605.0,298,Low
METRO-0259,Hyderabad,2.64,75,3027,58,76,26,85,90,67,2088.86,169,Medium
METRO-0260,Delhi,24.66,66,4947,7,7,19,38,62,108,760.86,154,Low
METRO-0261,Delhi,15.61,33,2208,24,13,99,51,72,80,3090.7,193,Medium
METRO-0262,Mumbai,42.41,6,2064,83,80,30,54,32,39,3378.0,283,Medium
METRO-0263,Delhi,30.51,94,1309,20,76,1,94,10,60,3878.37,31,Medium
METRO-0264,Bangalore,23.24,61,4559,3,10,84,74,99,32,4352.19,215,Medium
METRO-0265,Hyderabad,20.99,61,1123,35,9,60,67,23,52,1828.73,198,Medium
METRO-0266,Delhi,25.37,46,1854,42,80,97,18,56,43,1297.04,281,Medium
METRO-0267,Delhi,2.98,53,2181,92,28,58,94,31,31,1028.06,111,Medium
METRO-0268,Mumbai,44.75,61,4600,82,54,30,26,82,101,2942.54,67,Medium
METRO-0269,Kolkata,49.92,75,3044,25,1,73,17,65,70,1703.32,229,Low
METRO-0270,Mumbai,9.89,22,1985,35,0,55,52,62,64,1385.84,162,Medium
METRO-0271,Bangalore,6.9,74,2175,88,46,68,13,84,65,3004.6,19,Medium
METRO-0272,Hyderabad,8.04,31,4128,22,90,35,4,74,30,3205.86,40,Medium
METRO-0273,Mumbai,33.39,58,4301,91,82,29,86,44,83,1131.31,20,Medium
METRO-0274,Delhi,33.41,28,3969,40,17,22,36,90,64,2857.82,185,Low
METRO-0275,Hyderabad,42.55,99,1922,74,34,38,41,83,40,922.75,316,Medium
METRO-0276,Hyderabad,37.84,38,3278,92,72,72,47,14,97,4045.59,59,Medium
METRO-0277,Delhi,23.03,26,1356,43,61,83,25,62,60,3141.0,56,Medium
METRO-0278,Mumbai,31.03,92,295,49,24,98,74,47,85,3186.01,9,Medium
METRO-0279,Delhi,34.73,67,3156,83,85,69,26,4,112,3725.79,275,Medium
METRO-0280,Kolkata,26.12,40,4397,8,76,36,83,79,110,1469.26,234,Medium
METRO-0281,Hyderabad,24.31,96,2256,87,28,65,77,67,67,1342.16,354,Medium
METRO-0282,Chennai,32.61,88,4738,46,85,58,41,30,59,1907.31,162,Medium
METRO-0283,Chennai,28.32,65,140,40,79,81,36,92,87,3108.09,117,Medium
METRO-0284,Bangalore,32.55,86,3914,12,18,68,27,62,105,4211.17,124,Low
METRO-0285,Delhi,31.03,46,781,57,71,13,40,39,65,4955.05,331,Medium
METRO-0286,Delhi,36.24,37,2959,65,75,82,61,61,53,4197.28,335,Medium
METRO-0287,Bangalore,32.5,78,2562,80,65,50,68,67,29,2716.79,269,Medium
METRO-0288,Bangalore,26.47,13,2137,57,68,9,32,68,102,3091.84,99,Medium
METRO-0289,Bangalore,34.41,29,2519,90,77,48,30,51,47,1774.44,78,Medium
METRO-0290,Hyderabad,23.02,17,1774,65,79,52,55,93,52,1503.43,344,Medium
METRO-0291,Kolkata,12.84,51,2951,32,97,52,89,67,39,1139.88,185,Medium
METRO-0292,Delhi,1.07,49,463,68,9,95,6,70,78,2831.13,216,Medium
METRO-0293,Hyderabad,28.44,9,2618,77,71,88,56,24,96,1294.33,102,Medium
METRO-0294,Bangalore,29.94,35,599,26,24,45,33,77,93,741.76,180,Low
METRO-0295,Delhi,48.63,35,3153,49,26,96,66,59,101,1310.19,193,Medium
METRO-0296,Hyderabad,18.71,94,2570,58,60,58,87,39,40,2235.49,207,Medium
METRO-0297,Kolkata,20.31,75,678,99,9,64,70,40,79,1518.2,42,Medium
METRO-0298,Hyderabad,10.89,45,3964,90,35,98,45,92,34,1491.86,202,Medium
METRO-0299,Kolkata,4.46,50,1357,77,38,53,27,35,51,1611.23,27,Medium
METRO-0300,Bangalore,38.87,56,3072,78,6,57,44,58,30,4481.9,217,Medium
METRO-0301,Kolkata,13.23,88,4085,26,14,38,95,41,52,872.34,262,Medium
METRO-0302,Delhi,30.84,90,3088,58,12,90,59,98,52,1949.75,157,Medium
METRO-0303,Bangalore,34.7,9,1624,55,32,73,6,10,84,2276.78,317,Low
METRO-0304,Delhi,24.09,16,4553,71,98,56,45,27,89,1762.88,286,Medium
METRO-0305,Chennai,43.94,25,4321,84,65,97,8,14,53,2213.42,27,Medium
METRO-0306,Mumbai,22.75,13,351,33,10,68,14,14,42,3330.81,11,Low
METRO-0307,Kolkata,14.96,97,481,48,20,78,54,81,67,1128.73,326,Medium
METRO-0308,Mumbai,44.9,95,1904,91,77,96,8,60,79,2120.11,326,Medium
METRO-0309,Mumbai,43.22,21,2087,87,88,23,33,1,85,1121.82,308,Medium
METRO-0310,Kolkata,9.04,28,4912,16,22,50,56,29,97,3786.57,304,Low
