Supplier_ID,Supplier_Name,Location,Material_Type,Lead_Time (days),Historical_Delay (days),Quality_Rating (1-5),Avg_Cost_per_Unit (INR),Financial_Stability_Score,Past_Contract_Failures,Alternative_Suppliers,Climate_Risk,Delivery_Mode,Reliability_Score (0-1),Geo_Proximity (km),Inventory_Buffer_Level
S033,Supplier_33,Chennai,Bricks,24,0,3.4,2374,9.0,3,"S2044, S13112",Medium,Road,0.85,47,Low
S034,Supplier_34,Kolkata,Bricks,5,0,4.0,3107,5.3,0,"S11209, S1037",Low,Ship,0.98,66,Medium
S035,Supplier_35,Chennai,Steel,15,5,3.4,6658,9.4,1,"S12866, S6941",High,Rail,0.72,69,Medium
S036,Supplier_36,Mumbai,Cement,6,8,4.3,2690,5.4,3,"S5326, S9805",Low,Road,0.92,77,Medium
S037,Supplier_37,Mumbai,Wood,6,6,3.6,9246,8.2,3,"S10369, S2354",Medium,Air,0.71,68,High
S038,Supplier_38,Kolkata,Steel,6,4,3.3,6860,8.6,3,"S8784, S304",High,Ship,0.79,93,High
S039,Supplier_39,Bangalore,Cement,9,4,4.8,3761,6.8,1,"S7439, S2476",High,Ship,0.95,51,Medium
S040,Supplier_40,Delhi,Cement,11,1,3.9,2294,6.0,3,"S2893, S4856",High,Road,0.8,34,Medium
S041,Supplier_41,Chennai,Glass,20,7,3.0,3118,8.6,0,"S4373, S8242",Medium,Rail,0.95,26,Medium
S042,Supplier_42,Delhi,Concrete,9,6,3.8,7053,6.7,1,"S11484, S7973",Medium,Ship,0.93,72,High
S043,Supplier_43,Delhi,Concrete,10,10,3.0,6324,9.6,3,"S5966, S5665",Medium,Rail,0.91,77,Medium
S044,Supplier_44,Hyderabad,Concrete,28,9,3.0,6253,9.3,0,"S8613, S5552",Medium,Rail,0.95,32,Low
S045,Supplier_45,Bangalore,Glass,25,2,3.4,2473,9.7,3,"S5374, S5203",Low,Air,0.76,93,Low
S046,Supplier_46,Hyderabad,Wood,5,0,3.7,5699,7.7,0,"S11683, S8528",Low,Ship,0.83,96,High
S047,Supplier_47,Mumbai,Cement,11,3,3.6,3129,7.1,3,"S9416, S9610",Low,Rail,0.97,13,Medium
S048,Supplier_48,Bangalore,Concrete,8,10,4.9,9777,9.0,1,"S129, S8622",Low,Road,0.79,21,Medium
S049,Supplier_49,Delhi,Cement,29,10,4.1,6464,6.6,2,"S8445, S5754",Medium,Rail,0.95,46,High
S050,Supplier_50,Chennai,Steel,8,7,3.6,3814,5.8,1,"S6773, S6909",Low,Road,0.89,76,High
S051,Supplier_51,Mumbai,Bricks,17,3,3.1,2569,5.8,0,"S2055, S5681",Medium,Air,0.81,89,High
S052,Supplier_52,Kolkata,Bricks,28,1,4.9,6846,5.7,1,"S2445, S10549",Medium,Air,0.93,56,Medium
S053,Supplier_53,Kolkata,Bricks,24,6,3.3,9710,6.0,3,"S8787, S7274",Medium,Road,0.86,71,High
S054,Supplier_54,Delhi,Steel,27,8,3.6,8328,6.4,0,"S14937, S9267",High,Road,0.95,50,High
S055,Supplier_55,Bangalore,Bricks,26,6,3.9,6902,10.0,1,"S2341, S1515",Low,Road,0.74,64,Medium
S056,Supplier_56,Mumbai,Steel,7,4,5.0,5448,7.8,2,"S13912, S2954",Medium,Road,0.79,22,Low
S057,Supplier_57,Chennai,Cement,17,4,3.9,9951,6.8,3,"S12114, S11640",High,Rail,0.82,17,High
S058,Supplier_58,Mumbai,Concrete,19,5,4.0,7783,7.3,2,"S9495, S8678",Medium,Ship,0.89,82,Low
S059,Supplier_59,Mumbai,Concrete,24,8,4.4,3411,9.6,2,"S14347, S13025",Low,Rail,0.91,89,High
S060,Supplier_60,Kolkata,Cement,27,6,4.8,8477,9.3,1,"S12201, S4413",High,Road,0.81,40,Low
S061,Supplier_61,Chennai,Steel,17,2,3.1,9609,6.0,2,"S3430, S4539",Medium,Road,0.8,15,Low
S062,Supplier_62,Bangalore,Steel,21,2,4.0,7732,6.2,1,"S4557, S10014",Low,Road,0.83,98,Low
S063,Supplier_63,Delhi,Steel,22,10,3.7,2419,5.8,2,"S9345, S13974",Low,Ship,0.71,27,Medium
S064,Supplier_64,Kolkata,Bricks,21,1,3.9,9549,6.6,0,"S9017, S10075",High,Ship,0.84,53,Low
S065,Supplier_65,Delhi,Glass,20,6,3.6,6686,5.1,1,"S374, S14870",High,Ship,0.76,48,Medium
S066,Supplier_66,Delhi,Glass,23,10,5.0,8850,5.5,2,"S10169, S5991",Medium,Road,0.96,10,Medium
S067,Supplier_67,Mumbai,Bricks,13,0,4.1,7260,6.7,0,"S1935, S9579",Low,Air,0.92,77,Low
S068,Supplier_68,Mumbai,Glass,24,0,4.4,6859,7.8,2,"S11709, S7304",High,Rail,0.82,57,Medium
S069,Supplier_69,Hyderabad,Wood,21,3,3.7,2862,8.6,3,"S12792, S9781",Medium,Rail,0.87,41,Low
S070,Supplier_70,Delhi,Wood,20,7,3.8,4220,5.9,0,"S1027, S14044",High,Road,0.95,84,Medium
S071,Supplier_71,Bangalore,Glass,9,3,4.3,3897,5.1,1,"S2547, S13593",Medium,Rail,0.85,65,Medium
S072,Supplier_72,Kolkata,Cement,10,4,4.1,6503,6.3,3,"S1253, S13139",High,Road,0.72,41,High
S073,Supplier_73,Chennai,Wood,21,10,3.8,5614,7.8,2,"S12273, S5362",Low,Air,0.89,59,Low
S074,Supplier_74,Chennai,Cement,28,1,4.4,8587,5.7,2,"S11907, S6086",High,Road,0.79,61,Low
S075,Supplier_75,Mumbai,Concrete,23,4,3.4,4550,7.2,1,"S141, S9431",Low,Road,0.76,48,Medium
S076,Supplier_76,Delhi,Glass,22,4,4.8,6852,8.0,2,"S8096, S4053",Medium,Road,0.96,40,Medium
S077,Supplier_77,Mumbai,Bricks,27,8,3.7,3435,8.4,0,"S14077, S14871",High,Road,0.8,34,High
S078,Supplier_78,Bangalore,Cement,7,5,3.0,6695,9.0,2,"S11206, S3925",Low,Air,0.7,41,High
S079,Supplier_79,Delhi,Wood,9,10,3.3,2247,6.0,0,"S4630, S817",Medium,Air,0.8,53,High
S080,Supplier_80,Mumbai,Cement,21,3,4.4,4011,6.3,2,"S4733, S1971",High,Ship,0.84,68,Medium
S081,Supplier_81,Mumbai,Cement,30,7,4.7,9734,9.6,1,"S4737, S1748",High,Air,0.8,22,High
S082,Supplier_82,Delhi,Wood,8,1,3.3,2444,6.2,3,"S7924, S14137",High,Air,0.98,22,Medium
S083,Supplier_83,Bangalore,Bricks,19,3,4.6,7520,6.5,2,"S8299, S11012",Medium,Ship,0.8,67,Medium
S084,Supplier_84,Hyderabad,Concrete,21,6,4.4,2313,9.7,1,"S6161, S2141",Low,Air,0.92,63,Low
S085,Supplier_85,Mumbai,Glass,20,1,4.8,6913,7.0,1,"S2569, S2517",Low,Road,0.93,83,Low
S086,Supplier_86,Chennai,Concrete,8,9,3.8,4133,6.6,0,"S12128, S1864",High,Ship,0.76,53,Low
S087,Supplier_87,Bangalore,Cement,24,10,4.5,8509,5.2,3,"S5215, S8495",Medium,Rail,0.78,18,Low
S088,Supplier_88,Bangalore,Concrete,14,7,3.6,8242,9.8,3,"S1056, S9014",Medium,Air,0.82,78,Low
S089,Supplier_89,Mumbai,Glass,26,8,3.7,3571,7.4,2,"S8027, S11466",High,Rail,0.71,64,Medium
S090,Supplier_90,Delhi,Bricks,15,3,3.7,5550,5.6,2,"S13872, S14579",High,Road,0.97,24,Low
S091,Supplier_91,Delhi,Concrete,12,9,4.3,9520,6.7,2,"S7594, S10940",Low,Air,0.88,63,High
S092,Supplier_92,Chennai,Steel,13,9,4.7,2972,9.0,1,"S8528, S6468",Low,Road,0.73,23,Medium
S093,Supplier_93,Mumbai,Steel,23,10,3.5,2120,7.2,2,"S6669, S10180",Low,Ship,0.79,33,Low
S094,Supplier_94,Bangalore,Steel,12,3,4.3,5271,6.2,3,"S13283, S2912",Medium,Air,0.81,100,Low
S095,Supplier_95,Hyderabad,Concrete,28,8,3.5,3538,8.5,3,"S2714, S12690",Low,Air,0.91,97,Medium
S096,Supplier_96,Chennai,Cement,8,4,3.3,6095,8.3,2,"S4319, S2192",Low,Rail,0.78,10,Medium
S097,Supplier_97,Hyderabad,Wood,10,9,4.4,7984,6.4,0,"S5028, S7304",High,Air,0.82,46,High
S098,Supplier_98,Delhi,Steel,24,6,4.2,5389,6.1,3,"S10324, S12335",Medium,Rail,0.96,32,Low
S099,Supplier_99,Chennai,Wood,20,9,3.1,9874,7.5,2,"S13883, S9736",Medium,Road,0.78,50,Medium
S100,Supplier_100,Mumbai,Concrete,20,3,3.2,7812,5.6,2,"S5923, S11483",Medium,Ship,0.72,13,Medium
S101,Supplier_101,Bangalore,Bricks,21,9,3.1,5459,7.4,2,"S4739, S7234",High,Road,0.8,23,High
S102,Supplier_102,Kolkata,Cement,22,3,4.6,3073,6.1,1,"S10440, S5890",Low,Rail,0.76,76,High
S103,Supplier_103,Hyderabad,Steel,30,6,3.3,9437,7.3,1,"S2237, S404",Medium,Rail,0.72,36,Low
S104,Supplier_104,Delhi,Bricks,26,8,4.1,4148,7.5,2,"S4951, S12692",High,Air,0.78,31,High
S105,Supplier_105,Kolkata,Bricks,16,6,4.5,9339,9.5,2,"S5103, S5888",Low,Ship,0.99,22,Medium
S106,Supplier_106,Bangalore,Cement,12,5,4.8,9357,6.7,2,"S4645, S5446",Medium,Air,0.82,66,Medium
S107,Supplier_107,Bangalore,Concrete,8,0,4.0,2694,5.1,2,"S8757, S13862",Medium,Ship,0.76,97,Low
S108,Supplier_108,Mumbai,Cement,11,10,4.0,4810,8.0,0,"S11894, S11593",Low,Road,0.8,12,Low
S109,Supplier_109,Bangalore,Steel,28,0,3.8,2684,6.8,2,"S6837, S5379",Medium,Ship,0.77,81,High
S110,Supplier_110,Kolkata,Bricks,22,4,4.7,9074,8.6,3,"S13085, S290",Low,Road,0.8,75,Medium
S111,Supplier_111,Mumbai,Glass,28,2,3.9,3176,6.3,1,"S7096, S10098",Low,Rail,0.81,34,High
S112,Supplier_112,Delhi,Concrete,25,7,3.4,3011,5.8,1,"S7072, S14868",Medium,Road,0.96,29,High
S113,Supplier_113,Delhi,Glass,10,6,4.1,5753,6.3,2,"S2922, S2626",Low,Ship,0.83,57,High
S114,Supplier_114,Chennai,Cement,13,2,3.8,7785,8.9,3,"S14747, S11938",Medium,Ship,0.85,88,High
S115,Supplier_115,Mumbai,Cement,27,7,4.6,6882,6.5,0,"S7024, S7197",Medium,Ship,0.99,11,High
S116,Supplier_116,Hyderabad,Wood,29,10,3.9,7497,7.8,3,"S10708, S11247",High,Ship,1.0,55,Low
S117,Supplier_117,Kolkata,Glass,27,7,3.9,5488,9.5,2,"S12393, S442",High,Rail,0.86,26,Medium
S118,Supplier_118,Mumbai,Bricks,21,9,4.1,9898,8.2,3,"S016, S2443",Low,Road,0.99,39,Low
S119,Supplier_119,Kolkata,Cement,18,0,4.8,4219,9.6,3,"S11515, S2072",Medium,Rail,0.79,21,High
S120,Supplier_120,Hyderabad,Bricks,30,10,4.4,2854,6.2,1,"S4440, S4593",Low,Ship,0.83,48,Medium
S121,Supplier_121,Bangalore,Concrete,20,9,4.8,6798,7.1,0,"S11576, S13922",High,Road,0.72,94,Low
S122,Supplier_122,Mumbai,Bricks,27,6,4.5,4282,5.8,0,"S6162, S8811",Medium,Road,0.77,15,Low
S123,Supplier_123,Kolkata,Steel,15,9,4.3,9133,6.7,3,"S5101, S4687",Low,Rail,0.88,46,Low
S124,Supplier_124,Mumbai,Concrete,14,8,4.2,8417,7.0,3,"S8927, S12725",High,Rail,0.94,40,High
S125,Supplier_125,Delhi,Wood,26,2,3.7,2449,5.1,2,"S2616, S14587",Low,Ship,0.84,20,Medium
S126,Supplier_126,Kolkata,Bricks,21,9,3.7,3797,5.7,0,"S1563, S12102",High,Rail,0.85,84,Low
S127,Supplier_127,Bangalore,Glass,9,4,4.9,7728,9.8,1,"S3307, S11179",Low,Ship,0.95,41,Low
S128,Supplier_128,Chennai,Steel,30,4,4.0,9879,6.3,1,"S201, S4560",Low,Ship,1.0,41,Low
S129,Supplier_129,Kolkata,Steel,29,10,4.4,8562,5.9,3,"S8782, S6016",Medium,Road,0.81,35,Medium
S130,Supplier_130,Mumbai,Concrete,12,3,4.5,4345,6.5,3,"S2283, S4415",High,Rail,0.99,79,High
S131,Supplier_131,Bangalore,Steel,29,5,4.9,6306,7.2,2,"S11659, S9652",Low,Road,0.82,37,Low
S132,Supplier_132,Kolkata,Glass,12,1,4.4,2144,9.1,1,"S14228, S2035",Medium,Rail,0.71,26,Medium
S133,Supplier_133,Chennai,Steel,7,6,3.8,4879,6.8,3,"S10794, S3073",High,Road,0.93,33,High
S134,Supplier_134,Hyderabad,Wood,12,7,3.5,2421,9.0,1,"S8586, S2376",Low,Air,0.95,71,Medium
S135,Supplier_135,Chennai,Steel,21,1,3.8,7130,9.2,0,"S6657, S1201",Low,Air,0.84,81,Low
S136,Supplier_136,Hyderabad,Bricks,10,7,4.4,8671,8.6,2,"S9493, S10269",Medium,Rail,0.74,27,Low
S137,Supplier_137,Mumbai,Glass,9,3,3.1,2144,6.4,0,"S5433, S9293",Medium,Air,0.71,75,Low
S138,Supplier_138,Mumbai,Concrete,9,7,3.2,6856,6.8,3,"S4673, S3889",High,Road,0.89,40,Low
S139,Supplier_139,Mumbai,Concrete,21,3,4.4,7251,7.6,2,"S10424, S824",Low,Road,0.79,56,Medium
S140,Supplier_140,Bangalore,Wood,8,6,3.8,8796,6.5,1,"S6339, S8265",High,Air,0.97,88,Low
S141,Supplier_141,Bangalore,Steel,18,4,4.4,5631,9.3,3,"S13988, S12816",Low,Air,0.92,81,Medium
S142,Supplier_142,Delhi,Bricks,20,0,4.1,5118,5.1,3,"S5148, S998",Low,Air,0.83,53,Low
S143,Supplier_143,Delhi,Glass,26,3,5.0,4784,5.2,0,"S520, S6829",Low,Rail,0.79,56,Medium
S144,Supplier_144,Chennai,Cement,25,5,4.8,6384,9.9,3,"S13606, S1756",Medium,Rail,0.97,50,Low
S145,Supplier_145,Kolkata,Bricks,23,4,4.5,8545,7.3,0,"S2192, S9246",High,Road,0.89,72,Low
S146,Supplier_146,Bangalore,Steel,21,7,3.2,8905,9.9,2,"S6559, S12760",Medium,Road,1.0,78,Low
S147,Supplier_147,Hyderabad,Wood,15,10,3.5,6677,6.6,1,"S1455, S6132",High,Road,0.77,17,Medium
S148,Supplier_148,Mumbai,Concrete,18,8,4.1,7903,6.3,0,"S10141, S14182",High,Air,0.9,63,Low
S149,Supplier_149,Delhi,Concrete,11,0,3.8,8943,7.0,1,"S8004, S14711",Low,Air,0.91,86,Low
S150,Supplier_150,Kolkata,Bricks,13,4,3.3,8962,7.8,0,"S9753, S10785",Medium,Air,0.89,94,Medium
S151,Supplier_151,Bangalore,Wood,21,5,4.0,7345,9.7,2,"S4203, S5910",High,Air,0.77,41,Medium
S152,Supplier_152,Delhi,Cement,21,7,4.9,4757,8.0,3,"S7618, S1717",Medium,Rail,0.72,62,Medium
S153,Supplier_153,Mumbai,Glass,23,1,4.4,6973,7.3,0,"S11211, S9063",Medium,Air,0.73,21,Low
S154,Supplier_154,Kolkata,Concrete,14,3,4.9,6512,7.0,1,"S11471, S5721",High,Rail,0.82,50,Medium
S155,Supplier_155,Delhi,Cement,13,6,4.1,5204,6.1,2,"S5579, S8112",Low,Ship,0.89,27,Medium
S156,Supplier_156,Delhi,Wood,9,7,3.0,2968,5.9,0,"S3655, S5375",Low,Air,0.92,19,High
S157,Supplier_157,Mumbai,Wood,14,1,4.3,2396,8.7,2,"S8412, S1662",Medium,Ship,0.88,38,Low
S158,Supplier_158,Delhi,Bricks,23,5,3.6,3505,5.9,3,"S11163, S2423",High,Ship,0.93,26,Medium
S159,Supplier_159,Delhi,Steel,29,0,4.1,5995,8.0,0,"S7876, S9869",Low,Road,0.91,60,Low
S160,Supplier_160,Bangalore,Bricks,6,10,4.9,8736,8.7,0,"S13466, S12280",High,Road,0.82,78,Medium
S161,Supplier_161,Bangalore,Bricks,28,5,3.4,7436,8.9,3,"S10125, S1918",Medium,Road,0.95,33,Medium
S162,Supplier_162,Chennai,Concrete,15,6,3.3,7710,6.2,3,"S3005, S14464",Medium,Ship,0.77,19,Low
S163,Supplier_163,Chennai,Glass,9,3,5.0,5915,6.3,3,"S2573, S4756",Low,Ship,0.76,31,Medium
S164,Supplier_164,Mumbai,Wood,9,2,3.6,6313,8.3,3,"S6785, S11393",Low,Road,0.77,74,Medium
S165,Supplier_165,Hyderabad,Glass,26,5,3.6,5896,9.9,2,"S1536, S12171",High,Air,0.95,88,Low
S166,Supplier_166,Delhi,Steel,13,0,4.3,6753,9.4,0,"S14967, S11898",Medium,Rail,0.72,56,Low
S167,Supplier_167,Hyderabad,Cement,12,2,4.2,9197,6.6,1,"S5149, S847",Medium,Air,0.83,66,Low
S168,Supplier_168,Bangalore,Bricks,21,7,4.3,5971,5.2,1,"S3232, S13024",Medium,Ship,0.93,69,Medium
S169,Supplier_169,Hyderabad,Concrete,11,0,4.7,4600,7.4,3,"S2025, S758",Medium,Ship,0.77,77,Medium
S170,Supplier_170,Chennai,Cement,9,5,4.4,7950,5.8,1,"S3103, S2043",Medium,Rail,0.89,38,High
S171,Supplier_171,Bangalore,Concrete,28,7,3.9,5873,6.4,2,"S8787, S14660",Medium,Road,0.78,52,Medium
S172,Supplier_172,Mumbai,Bricks,24,0,4.8,5672,5.6,1,"S9496, S11909",Low,Rail,0.81,63,Low
S173,Supplier_173,Chennai,Steel,6,1,4.0,2048,7.5,1,"S10337, S9024",High,Ship,0.79,67,High
S174,Supplier_174,Delhi,Glass,10,3,4.6,5866,9.4,0,"S10091, S3956",High,Road,0.89,35,Medium
S175,Supplier_175,Kolkata,Steel,12,7,4.3,3192,6.8,2,"S9549, S7415",High,Air,0.95,46,High
S176,Supplier_176,Kolkata,Wood,21,1,5.0,3330,5.7,3,"S12827, S5563",High,Air,0.89,74,Medium
S177,Supplier_177,Hyderabad,Glass,11,4,4.7,9900,6.3,1,"S14926, S6245",Medium,Road,0.88,34,High
S178,Supplier_178,Delhi,Concrete,17,5,4.9,7553,6.1,2,"S10679, S1840",Low,Ship,0.75,88,High
S179,Supplier_179,Hyderabad,Concrete,24,4,4.8,7876,6.3,3,"S5727, S8127",Medium,Road,0.75,89,Low
S180,Supplier_180,Chennai,Steel,15,4,3.5,9479,7.3,1,"S7568, S8738",Low,Rail,0.85,30,High
S181,Supplier_181,Bangalore,Concrete,26,8,3.3,6867,9.8,2,"S4753, S2452",Low,Air,0.81,12,Medium
S182,Supplier_182,Chennai,Bricks,17,9,4.8,9761,9.4,1,"S10573, S5348",Medium,Air,1.0,40,Medium
S183,Supplier_183,Chennai,Glass,6,4,4.5,2822,6.6,3,"S3638, S8567",Medium,Road,0.85,82,Low
S184,Supplier_184,Bangalore,Steel,15,2,4.7,3616,6.7,3,"S8893, S1116",High,Air,0.97,20,Low
S185,Supplier_185,Bangalore,Concrete,20,4,3.3,3683,9.2,2,"S13965, S3002",High,Ship,0.95,38,High
S186,Supplier_186,Delhi,Concrete,15,5,3.8,4142,6.9,2,"S5191, S6698",Medium,Rail,0.92,66,Medium
S187,Supplier_187,Mumbai,Bricks,15,6,3.8,3375,6.3,0,"S7326, S11453",Low,Ship,0.91,52,Medium
S188,Supplier_188,Chennai,Cement,17,8,4.9,6640,7.0,1,"S4511, S4181",High,Air,0.93,95,High
S189,Supplier_189,Hyderabad,Steel,10,5,4.8,8683,7.7,1,"S9753, S543",Medium,Ship,0.71,25,Medium
S190,Supplier_190,Kolkata,Bricks,19,10,4.9,2083,8.8,0,"S11819, S8488",High,Road,0.87,77,High
S191,Supplier_191,Hyderabad,Steel,21,1,4.0,8760,6.3,0,"S13471, S12017",Medium,Air,0.73,83,Low
S192,Supplier_192,Chennai,Concrete,21,0,4.5,9456,7.6,0,"S5368, S10692",High,Rail,0.89,55,Low
S193,Supplier_193,Mumbai,Wood,23,2,4.2,3640,9.9,2,"S1816, S4750",Medium,Road,0.86,88,Low
S194,Supplier_194,Delhi,Wood,10,2,3.6,5635,5.3,2,"S7765, S2936",High,Rail,0.86,86,Low
S195,Supplier_195,Delhi,Bricks,22,6,4.2,3404,7.9,0,"S13893, S4854",High,Ship,0.8,67,Low
S196,Supplier_196,Hyderabad,Wood,24,3,4.9,7124,9.6,1,"S13571, S11827",Medium,Road,0.82,58,Medium
S197,Supplier_197,Hyderabad,Cement,6,0,4.4,8800,6.4,0,"S807, S1566",Low,Rail,0.94,80,Medium
S198,Supplier_198,Bangalore,Cement,25,7,3.5,8028,5.3,3,"S9977, S8255",High,Ship,0.71,54,High
S199,Supplier_199,Kolkata,Bricks,14,9,4.3,8692,10.0,2,"S11043, S089",Medium,Rail,1.0,63,Medium
S200,Supplier_200,Bangalore,Bricks,5,1,3.2,2280,9.5,1,"S10569, S4576",Medium,Air,0.8,19,High
S201,Supplier_201,Hyderabad,Cement,20,7,3.2,2305,9.4,2,"S11348, S8406",High,Road,0.93,97,Medium
S202,Supplier_202,Kolkata,Bricks,28,8,3.4,6762,6.0,0,"S6344, S4108",High,Ship,0.79,39,Medium
S203,Supplier_203,Kolkata,Concrete,18,4,4.5,7640,5.1,0,"S9784, S9984",Low,Road,1.0,78,Low
S204,Supplier_204,Hyderabad,Concrete,27,5,4.3,5178,7.2,3,"S11594, S1140",Low,Ship,0.82,60,High
S205,Supplier_205,Mumbai,Cement,30,10,3.5,2262,6.5,1,"S14915, S14081",Medium,Rail,0.97,14,High
S206,Supplier_206,Delhi,Wood,11,1,4.4,2105,8.5,0,"S555, S3175",Low,Ship,0.97,10,High
S207,Supplier_207,Chennai,Concrete,15,9,3.9,9972,9.7,0,"S13366, S577",Low,Ship,0.73,69,Medium
S208,Supplier_208,Delhi,Glass,30,8,4.2,5105,8.1,0,"S4092, S11004",Low,Ship,0.81,93,Medium
S209,Supplier_209,Delhi,Cement,8,2,4.5,8437,5.4,2,"S12355, S3122",High,Air,0.77,70,Medium
S210,Supplier_210,Kolkata,Concrete,18,2,3.2,3218,7.5,1,"S2185, S5109",Medium,Air,0.74,66,High
S211,Supplier_211,Chennai,Steel,26,10,3.9,3731,6.2,2,"S14164, S9658",Low,Rail,0.71,44,Low
S212,Supplier_212,Bangalore,Bricks,10,7,3.1,8086,5.2,3,"S3938, S6358",Low,Air,0.94,40,High
S213,Supplier_213,Delhi,Bricks,26,6,4.8,3937,5.4,3,"S4585, S11134",High,Road,0.71,39,High
S214,Supplier_214,Delhi,Wood,9,2,3.8,9649,6.8,3,"S9274, S8244",High,Rail,0.99,37,Medium
S215,Supplier_215,Mumbai,Glass,28,4,3.5,2947,7.2,1,"S10979, S1018",High,Road,0.71,14,Low
S216,Supplier_216,Mumbai,Wood,27,5,3.1,2675,6.9,0,"S2254, S2022",High,Ship,0.96,45,Medium
S217,Supplier_217,Hyderabad,Glass,22,1,4.0,4312,7.5,2,"S2154, S9686",Medium,Rail,0.92,42,Low
S218,Supplier_218,Chennai,Steel,24,2,4.1,2068,5.7,0,"S14097, S7682",Low,Rail,0.89,17,Medium
S219,Supplier_219,Chennai,Glass,21,6,3.5,6703,6.0,3,"S6837, S11796",Low,Ship,0.71,75,Medium
S220,Supplier_220,Chennai,Cement,6,5,3.1,3677,7.2,1,"S9496, S1215",High,Air,0.93,68,High
S221,Supplier_221,Mumbai,Cement,20,5,4.7,6966,5.4,0,"S7949, S13343",High,Air,0.73,90,Low
