Project ID,City,Project Type,Project Size (sq. m),Start Date,End Date,Labor Count,Equipment Count,Avg Temperature (°C),Rainfall (mm),Milestone,External Factor,Delayed,Delay Duration (days),Delay Reason
PRJ-00030,Kolkata,Commercial,21042,2018-09-28,2019-07-04,1610,20,32.7215881253761,314.30178467848697,Handover,Funding issues,True,350,Material shortage
PRJ-00031,Chennai,Metro,72733,2024-12-02,2025-09-18,1656,33,31.017158079025037,36.55618662115856,Inspection,Land dispute,False,0,No Delay
PRJ-00032,Hyderabad,Metro,85978,2016-09-29,2019-12-09,1993,47,28.1391574936221,274.4258031358794,Inspection,Land dispute,True,365,Monsoon rains
PRJ-00033,Mumbai,Metro,32054,2015-12-09,2019-05-21,1802,13,39.77552187971376,313.64430181237105,Foundation,Land dispute,True,80,Equipment failure
PRJ-00034,Chennai,Commercial,68125,2015-09-06,2017-04-21,1903,32,39.550436762688165,313.47469952949956,Roofing,Funding issues,False,0,No Delay
PRJ-00035,Mumbai,Commercial,55604,2020-02-22,2023-02-16,147,36,28.427607512614102,362.1278850917807,Handover,Land dispute,True,3,Monsoon rains
PRJ-00036,Chennai,Residential,92840,2015-11-08,2018-02-09,1820,30,39.10715948593287,199.8001960660593,Roofing,Land dispute,True,298,Regulatory approval delay
PRJ-00037,Pune,Metro,44257,2022-03-13,2024-09-08,956,39,17.38294108216785,16.804917104138394,Roofing,Funding issues,True,268,Site condition issues
PRJ-00038,Hyderabad,Residential,22495,2017-09-02,2018-06-23,392,5,31.720061726119383,182.81880084629742,Roofing,None,False,0,No Delay
PRJ-00039,Delhi,Commercial,20105,2017-01-30,2020-07-31,1768,19,15.987674364108273,402.00734644397005,Roofing,Environmental clearance delay,True,16,Monsoon rains
PRJ-00040,Kolkata,Bridge,17296,2021-01-13,2023-06-21,546,42,32.20155342632129,146.8659020427791,Finishing,Environmental clearance delay,True,238,Design change
PRJ-00041,Hyderabad,Bridge,36615,2015-10-30,2019-03-28,178,5,35.27309381062085,229.80189288730412,Roofing,Funding issues,True,22,Regulatory approval delay
PRJ-00042,Ahmedabad,Residential,40767,2019-11-04,2022-07-18,1984,15,43.03622220810469,196.57043805954672,Handover,Funding issues,False,0,No Delay
PRJ-00043,Mumbai,Highway,82265,2024-01-09,2027-11-23,1530,6,20.673640359978087,214.02631696410086,Foundation,Funding issues,False,0,No Delay
PRJ-00044,Delhi,Industrial,60019,2024-01-29,2024-11-29,503,47,36.900272590404185,136.4354828297254,Foundation,Funding issues,True,193,Labor strike
PRJ-00045,Mumbai,Bridge,43933,2023-12-06,2024-07-18,875,26,37.423734503709596,203.90871464219728,Finishing,None,False,0,No Delay
PRJ-00046,Pune,Bridge,28153,2021-10-10,2022-06-04,1176,9,40.69753767257775,115.21216874419544,Inspection,Environmental clearance delay,False,0,No Delay
PRJ-00047,Mumbai,Highway,54299,2019-02-17,2020-06-26,656,17,33.86719425194124,201.49960704717134,Foundation,Funding issues,True,218,Monsoon rains
PRJ-00048,Kolkata,Residential,53320,2019-07-03,2021-02-13,1479,25,36.67092002576552,168.83419536733442,Foundation,Environmental clearance delay,True,111,Design change
PRJ-00049,Mumbai,Airport,25276,2023-08-24,2025-08-27,1230,35,18.809545326249328,197.92346166209228,Handover,None,False,0,No Delay
PRJ-00050,Kolkata,Airport,55245,2018-07-09,2021-12-09,959,49,23.356027335552533,324.12123171693605,Inspection,Funding issues,True,134,Design change
PRJ-00051,Bangalore,Airport,35729,2017-12-19,2020-10-02,1510,13,27.424325238653836,33.812522763752796,Inspection,Land dispute,False,0,No Delay
PRJ-00052,Kolkata,Highway,99812,2017-05-06,2019-04-08,1704,33,20.514784480553583,29.928893611334217,Roofing,None,True,92,Monsoon rains
PRJ-00053,Mumbai,Bridge,88337,2022-02-09,2024-12-23,1188,32,41.752298945741785,310.7974627904611,Foundation,None,False,0,No Delay
PRJ-00054,Kolkata,Railway,9636,2020-02-10,2023-09-28,1582,12,28.92268179016781,424.97263305906563,Handover,Land dispute,False,0,No Delay
PRJ-00055,Delhi,Highway,44511,2015-04-15,2017-11-27,489,28,18.429755950688065,166.14941140112987,Inspection,Funding issues,False,0,No Delay
PRJ-00056,Bangalore,Commercial,82198,2015-01-10,2015-08-02,873,14,24.193962154835184,310.7782137900854,Roofing,Environmental clearance delay,False,0,No Delay
PRJ-00057,Pune,Highway,25085,2021-01-17,2023-01-05,1959,21,28.926009184414248,303.7700806872896,Finishing,Funding issues,True,327,Equipment failure
PRJ-00058,Ahmedabad,Bridge,94159,2015-01-30,2018-05-05,230,20,32.380474467445104,383.34369735889135,Foundation,Funding issues,True,16,Material shortage
PRJ-00059,Mumbai,Airport,75268,2016-04-17,2018-08-09,829,32,15.10793057068226,330.75160214183853,Handover,Environmental clearance delay,False,0,No Delay
PRJ-00060,Mumbai,Railway,2475,2015-01-07,2016-10-09,1394,25,22.852964848742207,97.98962569671687,Handover,Funding issues,False,0,No Delay
PRJ-00061,Delhi,Industrial,24372,2020-12-29,2024-07-27,699,19,37.50868570068273,384.2325584136579,Structural Completion,None,False,0,No Delay
PRJ-00062,Kolkata,Residential,63526,2022-03-23,2025-02-04,1162,38,37.224788900206164,107.38494188480979,Handover,Funding issues,True,37,Material shortage
PRJ-00063,Hyderabad,Industrial,85186,2024-09-12,2027-07-07,945,46,23.35944992824873,208.00156104657557,Foundation,Funding issues,True,226,Design change
PRJ-00064,Pune,Highway,23647,2015-03-09,2017-12-20,487,10,22.249789931196105,54.077605513421275,Foundation,Environmental clearance delay,True,228,Labor strike
PRJ-00065,Hyderabad,Airport,65081,2024-01-24,2025-02-19,902,24,29.766925588265394,411.20789699623776,Inspection,Land dispute,False,0,No Delay
PRJ-00066,Chennai,Highway,97125,2022-11-01,2023-06-10,489,42,17.051580878877438,201.36714980601866,Handover,Land dispute,False,0,No Delay
PRJ-00067,Pune,Commercial,7807,2020-11-12,2023-10-28,1669,46,22.67802050932775,8.772022197648777,Finishing,None,False,0,No Delay
PRJ-00068,Ahmedabad,Metro,62745,2020-03-26,2020-12-19,1639,33,41.66443109555931,163.55102203522853,Finishing,None,True,294,Financial issues
PRJ-00069,Ahmedabad,Bridge,30220,2020-12-30,2022-01-08,1624,24,38.95840547404413,387.52713978995854,Handover,Land dispute,False,0,No Delay
PRJ-00070,Ahmedabad,Railway,95765,2022-12-24,2025-05-13,695,43,28.97081907887716,182.0922378448962,Structural Completion,None,True,212,Design change
PRJ-00071,Ahmedabad,Residential,65333,2016-10-15,2019-08-14,1204,17,38.1451191995492,380.6566638770304,Finishing,Funding issues,False,0,No Delay
PRJ-00072,Hyderabad,Metro,49177,2015-03-30,2016-12-06,108,33,31.472636115343295,442.7735472742589,Handover,None,False,0,No Delay
PRJ-00073,Chennai,Metro,79442,2021-01-18,2024-02-19,1873,45,18.92183671981976,491.9539789068548,Handover,Environmental clearance delay,True,156,Material shortage
PRJ-00074,Mumbai,Metro,8714,2016-11-03,2019-01-16,1096,21,24.31800426275708,457.30111130116654,Handover,None,False,0,No Delay
PRJ-00075,Kolkata,Residential,99242,2022-05-01,2023-04-19,691,34,23.653761875817395,5.377385032983295,Structural Completion,Funding issues,True,165,Site condition issues
PRJ-00076,Chennai,Highway,86876,2024-05-07,2025-03-24,1867,43,21.131733397870477,213.7043510709894,Structural Completion,Land dispute,False,0,No Delay
PRJ-00077,Kolkata,Commercial,3119,2020-03-23,2023-07-31,1034,50,15.628797659248887,449.65895132673495,Handover,Environmental clearance delay,True,310,Financial issues
PRJ-00078,Chennai,Commercial,51556,2016-01-24,2019-02-03,1163,23,26.71845439678539,260.98814604571055,Roofing,None,False,0,No Delay
PRJ-00079,Mumbai,Industrial,80000,2023-10-22,2025-03-26,54,22,30.341496101590543,43.840415772778144,Foundation,Land dispute,True,218,Material shortage
PRJ-00080,Delhi,Railway,94122,2018-09-04,2019-08-29,1058,35,36.63738145675748,345.5344632099865,Inspection,Land dispute,False,0,No Delay
PRJ-00081,Hyderabad,Railway,94140,2023-03-17,2024-01-30,821,30,31.606892493044853,7.6294320099760675,Foundation,Land dispute,True,202,Monsoon rains
PRJ-00082,Pune,Industrial,81763,2017-01-06,2017-11-30,304,31,29.295243225712362,131.6839015021068,Finishing,Land dispute,True,327,Design change
PRJ-00083,Delhi,Metro,66849,2015-05-22,2015-12-12,514,47,33.64431440926269,338.6581381840638,Inspection,None,False,0,No Delay
PRJ-00084,Kolkata,Railway,80046,2019-06-28,2021-04-24,374,25,44.43695233625519,75.57489988512528,Inspection,Environmental clearance delay,False,0,No Delay
PRJ-00085,Chennai,Highway,68746,2020-02-20,2023-05-03,447,48,26.21261474684318,455.4490006796551,Roofing,Funding issues,False,0,No Delay
PRJ-00086,Chennai,Bridge,78346,2023-08-01,2024-09-04,1176,34,34.0990941030209,265.3771739709688,Foundation,Land dispute,True,189,Site condition issues
PRJ-00087,Delhi,Bridge,68127,2018-09-01,2020-01-07,1452,42,30.215067327428603,339.7263185724805,Finishing,None,True,126,Financial issues
PRJ-00088,Kolkata,Airport,38879,2020-03-25,2022-11-25,325,30,18.895811932044978,317.981528881165,Foundation,Funding issues,False,0,No Delay
PRJ-00089,Kolkata,Residential,95497,2022-03-27,2023-03-04,349,43,20.534379849702972,179.11418948478047,Finishing,Environmental clearance delay,False,0,No Delay
PRJ-00090,Bangalore,Industrial,59217,2021-09-10,2024-08-29,1447,49,34.58598407759479,282.8450721505201,Inspection,None,True,82,Site condition issues
PRJ-00091,Pune,Metro,29575,2015-03-17,2018-05-18,1196,45,24.785567970808966,377.2826452184204,Inspection,Land dispute,True,334,Site condition issues
PRJ-00092,Mumbai,Residential,13765,2019-10-09,2022-08-26,964,5,44.6950610417294,109.34968996824284,Roofing,Land dispute,False,0,No Delay
PRJ-00093,Bangalore,Airport,61386,2019-10-18,2022-10-16,1608,37,29.90177136001254,410.23071195404515,Foundation,Funding issues,False,0,No Delay
PRJ-00094,Pune,Industrial,88261,2021-04-25,2023-01-31,1735,31,28.30808966638446,178.00750726182685,Structural Completion,Environmental clearance delay,True,321,Design change
PRJ-00095,Mumbai,Commercial,71239,2023-09-08,2027-06-20,665,8,41.96480850732677,168.08518848188587,Finishing,Environmental clearance delay,False,0,No Delay
PRJ-00096,Kolkata,Industrial,21251,2022-08-14,2026-06-16,1606,21,40.96287863900007,467.54553619442197,Structural Completion,Funding issues,False,0,No Delay
PRJ-00097,Chennai,Bridge,27920,2016-07-11,2020-01-30,1998,42,42.75727638530876,169.67821558395661,Foundation,Environmental clearance delay,True,264,Design change
PRJ-00098,Chennai,Airport,51802,2021-11-07,2023-11-11,281,34,33.24120757273165,384.236124215813,Roofing,Funding issues,False,0,No Delay
PRJ-00099,Pune,Commercial,1277,2017-04-24,2019-08-22,494,39,43.550603915450935,142.85470476147515,Foundation,None,True,72,Site condition issues
PRJ-00100,Delhi,Commercial,63418,2022-09-09,2025-11-11,1016,25,43.68933178870202,423.57498369750954,Handover,Funding issues,False,0,No Delay
PRJ-00101,Chennai,Industrial,13494,2018-01-12,2019-07-27,1503,21,15.177065597211715,78.00367916815243,Roofing,Land dispute,False,0,No Delay
PRJ-00102,Pune,Commercial,39795,2016-01-14,2018-06-22,987,40,44.60059093612031,3.8155242947802703,Inspection,Land dispute,True,146,Monsoon rains
PRJ-00103,Mumbai,Metro,7871,2015-05-09,2016-11-27,601,8,38.21792622571928,424.93342420087987,Foundation,Land dispute,True,236,Material shortage
PRJ-00104,Ahmedabad,Highway,55525,2022-08-07,2024-03-10,281,33,23.06363557367623,378.2337426323013,Handover,None,True,31,Labor strike
PRJ-00105,Pune,Bridge,43314,2019-11-07,2022-08-28,1764,16,33.044743437093885,309.09826993396234,Finishing,Funding issues,False,0,No Delay
PRJ-00106,Ahmedabad,Commercial,48069,2024-03-18,2026-06-14,1166,41,42.78209264837777,69.0783054631679,Roofing,Land dispute,False,0,No Delay
PRJ-00107,Pune,Bridge,84361,2018-10-01,2019-09-18,1189,40,28.63488334047615,146.31040042056893,Inspection,Funding issues,True,172,Regulatory approval delay
PRJ-00108,Kolkata,Bridge,88025,2021-08-08,2022-04-30,1926,22,30.79874539542675,95.76126097224574,Finishing,Funding issues,False,0,No Delay
PRJ-00109,Delhi,Bridge,72165,2017-12-28,2021-08-26,541,23,15.051785719106812,441.25098912480854,Structural Completion,None,False,0,No Delay
PRJ-00110,Delhi,Commercial,27820,2017-02-06,2021-02-17,1659,26,38.39747786205219,103.18704920175314,Foundation,Funding issues,False,0,No Delay
PRJ-00111,Chennai,Industrial,86274,2024-02-19,2027-06-11,56,35,37.74821520193491,80.4493337861682,Structural Completion,Land dispute,True,280,Regulatory approval delay
PRJ-00112,Pune,Airport,25285,2023-06-10,2024-02-01,844,46,31.624097834664482,490.63192010646577,Inspection,None,True,141,Financial issues
PRJ-00113,Delhi,Bridge,34231,2020-01-20,2022-08-26,1997,44,29.448563934674045,487.06015618963255,Roofing,Funding issues,True,160,Material shortage
PRJ-00114,Kolkata,Airport,58366,2017-08-20,2019-10-12,1225,21,27.905350541824955,46.42574382789766,Foundation,None,True,45,Design change
PRJ-00115,Hyderabad,Railway,8701,2018-05-23,2019-08-25,558,49,43.34683260827434,297.1812712542455,Finishing,None,False,0,No Delay
PRJ-00116,Bangalore,Commercial,59369,2022-04-04,2024-05-06,1641,29,25.19638069879065,23.44785755013945,Handover,Environmental clearance delay,True,325,Material shortage
PRJ-00117,Pune,Railway,28605,2020-04-05,2023-04-02,1573,46,31.028368071024214,101.69540976059999,Structural Completion,Funding issues,False,0,No Delay
PRJ-00118,Chennai,Metro,25169,2017-03-19,2017-10-29,261,27,16.842318376636204,151.34734068557688,Foundation,Funding issues,False,0,No Delay
PRJ-00119,Hyderabad,Metro,63874,2023-02-25,2024-05-04,812,11,35.254913891895484,335.1902036406585,Structural Completion,Land dispute,False,0,No Delay
PRJ-00120,Pune,Bridge,18957,2022-11-07,2025-11-01,610,27,32.180547790488575,349.04825630572526,Structural Completion,Land dispute,False,0,No Delay
PRJ-00121,Chennai,Bridge,35523,2022-03-05,2024-02-19,875,50,27.49779870655289,466.3498304829144,Roofing,None,True,354,Material shortage
PRJ-00122,Kolkata,Residential,59538,2017-05-19,2021-01-01,1165,38,38.4246664731746,1.9863751066653834,Foundation,Funding issues,True,297,Site condition issues
PRJ-00123,Delhi,Residential,59141,2017-05-16,2018-02-10,1137,20,18.663283848972725,350.3485253189524,Structural Completion,Land dispute,True,350,Material shortage
PRJ-00124,Pune,Metro,89660,2024-02-29,2025-09-20,86,48,31.290259627771352,78.82307484644485,Finishing,Land dispute,True,357,Regulatory approval delay
PRJ-00125,Bangalore,Highway,84525,2017-05-14,2021-02-04,419,8,26.94954199694004,374.88158953059605,Handover,Land dispute,False,0,No Delay
PRJ-00126,Chennai,Airport,84884,2019-09-28,2021-07-13,124,15,27.186653030261674,279.74359620948354,Handover,Environmental clearance delay,True,271,Financial issues
PRJ-00127,Bangalore,Residential,61818,2020-01-04,2023-10-06,262,17,18.146485007981966,250.7392362087081,Finishing,Funding issues,True,311,Material shortage
PRJ-00128,Hyderabad,Railway,82904,2016-08-19,2018-03-28,1787,13,18.8569837458163,367.46095651855273,Inspection,None,True,60,Design change
PRJ-00129,Hyderabad,Railway,93117,2015-12-28,2017-01-16,545,45,36.36432352987117,59.57122925338565,Roofing,Funding issues,False,0,No Delay
PRJ-00130,Pune,Highway,26995,2021-05-31,2024-05-24,1014,47,33.29160772605836,22.544983883514448,Finishing,Funding issues,True,145,Equipment failure
PRJ-00131,Bangalore,Bridge,14129,2021-10-22,2022-07-12,1543,42,31.227566238762453,188.87416680574688,Roofing,Funding issues,True,147,Equipment failure
PRJ-00132,Kolkata,Railway,59172,2017-06-04,2020-08-30,610,24,32.90583155743641,481.52489743192535,Roofing,Environmental clearance delay,True,349,Labor strike
PRJ-00133,Mumbai,Railway,88077,2020-01-19,2021-03-16,670,10,36.29583842171458,156.69541354863736,Handover,Funding issues,True,223,Labor strike
PRJ-00134,Bangalore,Metro,8605,2016-03-28,2020-02-20,304,41,19.88243237386583,166.11095707336375,Finishing,Funding issues,False,0,No Delay
PRJ-00135,Ahmedabad,Residential,59762,2018-08-23,2021-01-13,1776,30,38.79692779104117,123.5631193542271,Inspection,Funding issues,True,64,Site condition issues
PRJ-00136,Chennai,Bridge,22541,2018-07-26,2020-01-20,1341,38,36.00760338122704,465.5123166989288,Inspection,Environmental clearance delay,False,0,No Delay
PRJ-00137,Pune,Industrial,58642,2017-10-02,2019-09-25,1636,15,21.20283331427538,233.14031404577656,Structural Completion,Environmental clearance delay,False,0,No Delay
PRJ-00138,Hyderabad,Airport,5720,2019-09-01,2023-10-09,637,45,16.010244886624854,188.90505926752667,Foundation,Environmental clearance delay,False,0,No Delay
PRJ-00139,Ahmedabad,Highway,31390,2022-01-02,2024-03-07,1162,41,29.17574809278485,484.1307020141414,Finishing,Funding issues,True,43,Regulatory approval delay
PRJ-00140,Hyderabad,Metro,35644,2016-09-29,2020-02-15,1139,39,21.711445813486197,475.23222989582234,Structural Completion,Environmental clearance delay,True,88,Equipment failure
PRJ-00141,Delhi,Industrial,33875,2022-10-04,2025-06-06,1270,19,26.47682353796184,373.4861993921891,Structural Completion,Land dispute,True,81,Equipment failure
PRJ-00142,Chennai,Metro,43278,2022-03-28,2023-03-20,1542,43,40.20285521806615,80.19662135611449,Inspection,Environmental clearance delay,False,0,No Delay
PRJ-00143,Ahmedabad,Metro,37959,2021-03-23,2024-11-13,495,38,19.457196971319355,335.7750347150238,Roofing,Land dispute,True,27,Site condition issues
PRJ-00144,Hyderabad,Airport,41066,2022-02-18,2024-11-20,422,16,34.259909791655154,269.5485232662723,Handover,Land dispute,True,303,Material shortage
PRJ-00145,Chennai,Airport,6173,2022-08-21,2023-02-23,241,25,23.105495617279118,346.35103121522457,Inspection,Land dispute,True,349,Equipment failure
PRJ-00146,Ahmedabad,Airport,42390,2022-11-06,2024-06-13,1667,16,34.2728492826606,372.1982742775298,Foundation,Funding issues,False,0,No Delay
PRJ-00147,Pune,Railway,54079,2017-12-12,2021-05-04,488,50,25.99450033952381,8.435062539252636,Roofing,None,False,0,No Delay
PRJ-00148,Kolkata,Highway,83740,2018-07-24,2020-11-15,1009,43,24.40096993872887,393.48063479394705,Finishing,None,True,196,Labor strike
PRJ-00149,Mumbai,Industrial,10631,2017-11-09,2020-05-15,1704,14,21.141688394172018,199.23683703549955,Inspection,Funding issues,False,0,No Delay
PRJ-00150,Mumbai,Railway,58373,2018-10-28,2019-11-19,1740,14,36.21962010381685,293.0540304943994,Roofing,Funding issues,True,294,Material shortage
PRJ-00151,Ahmedabad,Residential,82983,2022-12-17,2026-06-23,1544,12,43.52927130685564,326.01350534178323,Handover,None,True,258,Equipment failure
PRJ-00152,Chennai,Airport,69507,2023-02-08,2026-12-08,1690,8,33.135350886866405,75.47076021275257,Finishing,None,False,0,No Delay
PRJ-00153,Delhi,Commercial,44236,2024-08-10,2026-07-22,205,7,34.40285622976877,403.7090535633326,Roofing,None,True,133,Regulatory approval delay
PRJ-00154,Mumbai,Highway,97493,2019-01-06,2020-05-22,1513,37,28.637255774188347,124.73659037058788,Handover,Land dispute,False,0,No Delay
PRJ-00155,Bangalore,Industrial,79449,2024-01-24,2026-07-11,1771,6,33.21887024564955,375.0136176709943,Roofing,Funding issues,True,190,Regulatory approval delay
PRJ-00156,Bangalore,Commercial,93915,2017-04-06,2018-02-01,446,36,28.14318463998112,162.47988898969518,Foundation,None,True,83,Equipment failure
PRJ-00157,Delhi,Airport,31810,2016-06-01,2018-03-27,1187,31,34.10725275276042,430.0242306808829,Finishing,Land dispute,False,0,No Delay
PRJ-00158,Ahmedabad,Industrial,36485,2021-03-17,2022-01-26,1494,48,31.14378297592026,177.41461768107715,Inspection,Environmental clearance delay,True,130,Material shortage
PRJ-00159,Ahmedabad,Airport,95515,2015-10-14,2017-12-03,81,27,27.25825703282058,27.44531641795622,Structural Completion,Land dispute,False,0,No Delay
PRJ-00160,Bangalore,Airport,82071,2018-05-18,2020-02-25,755,43,15.762640204858169,316.71776742646364,Roofing,Land dispute,True,224,Design change
PRJ-00161,Hyderabad,Railway,99319,2024-10-29,2028-08-09,292,46,18.814227315650555,74.11491699803369,Foundation,None,False,0,No Delay
PRJ-00162,Pune,Bridge,44717,2016-01-26,2018-11-10,306,28,38.55719296234933,192.1551301512748,Inspection,None,True,255,Regulatory approval delay
PRJ-00163,Delhi,Highway,43570,2023-04-09,2024-10-21,1577,6,34.44596440351111,478.6807156981167,Structural Completion,None,True,99,Monsoon rains
PRJ-00164,Chennai,Airport,27906,2018-10-07,2020-05-05,337,41,33.0303215686109,315.8918245639812,Inspection,Land dispute,True,358,Regulatory approval delay
PRJ-00165,Kolkata,Industrial,94669,2019-11-05,2021-10-16,1212,5,20.320355406784962,197.95588921647382,Foundation,Environmental clearance delay,False,0,No Delay
PRJ-00166,Mumbai,Highway,33740,2022-02-03,2023-06-28,1492,42,35.148315420307085,130.91320851324522,Handover,Land dispute,True,40,Regulatory approval delay
PRJ-00167,Delhi,Industrial,73336,2022-10-18,2025-04-12,615,7,26.837900024493656,30.262754390605995,Finishing,Land dispute,True,48,Labor strike
PRJ-00168,Chennai,Metro,94249,2023-10-19,2025-06-23,409,6,16.40457395342589,320.0334492845002,Roofing,Funding issues,False,0,No Delay
PRJ-00169,Chennai,Bridge,84645,2019-12-19,2021-10-16,981,44,27.286207343996495,361.3782934744202,Finishing,Funding issues,False,0,No Delay
PRJ-00170,Mumbai,Residential,40220,2023-05-28,2025-07-08,703,13,18.928134567174833,304.3532184559068,Handover,Land dispute,True,206,Equipment failure
PRJ-00171,Hyderabad,Airport,9111,2024-05-20,2026-09-11,974,28,31.16716989701869,209.43167174080008,Foundation,Environmental clearance delay,True,20,Regulatory approval delay
PRJ-00172,Mumbai,Airport,35688,2016-07-24,2019-01-23,970,40,43.1939393608867,347.3669280195741,Handover,Land dispute,True,46,Monsoon rains
PRJ-00173,Hyderabad,Highway,49164,2017-10-02,2019-09-25,64,8,31.98807032787898,83.44993371042142,Handover,Funding issues,True,190,Design change
PRJ-00174,Bangalore,Residential,43260,2015-01-03,2018-08-27,1280,20,33.308007582217925,330.1923493221837,Finishing,Environmental clearance delay,False,0,No Delay
PRJ-00175,Ahmedabad,Bridge,23634,2023-11-24,2027-11-20,1363,40,23.43518871707621,305.7449604299071,Inspection,Environmental clearance delay,False,0,No Delay
PRJ-00176,Kolkata,Commercial,18663,2023-04-26,2025-11-13,122,30,34.029498491053275,327.42588804638154,Inspection,None,True,307,Labor strike
PRJ-00177,Delhi,Metro,54885,2019-10-24,2020-11-15,1806,19,38.98797622799374,232.68949694744728,Finishing,Land dispute,False,0,No Delay
PRJ-00178,Bangalore,Industrial,73851,2015-06-10,2018-08-14,1262,8,19.672712156892977,367.63890073019076,Handover,None,True,358,Equipment failure
PRJ-00179,Kolkata,Industrial,37520,2017-07-29,2018-09-18,232,49,15.874488967007235,120.56010912647753,Roofing,None,True,63,Material shortage
PRJ-00180,Chennai,Bridge,68365,2022-08-27,2026-02-01,1452,34,21.48202096848702,16.160527796614755,Handover,Funding issues,True,97,Equipment failure
PRJ-00181,Kolkata,Metro,36897,2015-11-29,2019-01-26,1002,46,39.31540829000566,425.7277025389054,Finishing,Land dispute,False,0,No Delay
